Article_Name,Article_ID
Akira_Kurosawa,A0159
Akkadian_Empire,A0160
Akrotiri_and_Dhekelia,A0161
Aksumite_currency,A0162
Al_Jazeera,A0163
Alamosaurus,A0164
Alan_Turing,A0165
Albania,A0166
Albatross,A0167
Albert_Einstein,A0168
Alberto_Santos-Dumont,A0169
Albertosaurus,A0170
Albigensian_Crusade,A0171
Albinism,A0172
Albrecht_D%C3%BCrer,A0173
Albrecht_Rodenbach,A0174
Alchemy,A0175
Alcibiades,A0176
Alcohol,A0177
Aleksandr_Pushkin,A0178
Aleksandr_Vasilevsky,A0179
Aleksey_Arakcheyev,A0180
Alexander_Graham_Bell,A0181
Alexander_Hamilton,A0182
Alexander_the_Great,A0183
Alfred_Hitchcock,A0184
Alfred_Nobel,A0185
Alfred_the_Great,A0186
Algebra,A0187
Algeria,A0188
Algerian_Civil_War,A0189
Algiers,A0190
Algol,A0191
Algoma_Central_Railway,A0192
Algorithm,A0193
Alice%27s_Adventures_in_Wonderland,A0194
All_Blacks,A0195
All_You_Need_Is_Love_%28The_JAMs_song%29,A0196
All_your_base_are_belong_to_us,A0197
Allah,A0198
Allegory_in_the_Middle_Ages,A0199
Alligator,A0200
Alliterative_verse,A0201
Allosaurus,A0202
Almaty,A0203
Almond,A0204
Alpaca,A0205
Alphabet,A0206
Alternating_current,A0207
Alternation_of_generations,A0208
Alternative_rock,A0209
Aluminium,A0210
Aluminium_chloride,A0211
Alzheimer%27s_disease,A0212
Amaranth_oil,A0213
Amarillo%2C_Texas,A0214
Amazon_Basin,A0215
Amazon_Rainforest,A0216
Amazon_River,A0217
Amazon_parrot,A0218
Amber,A0219
Amda_Seyon_I,A0220
American_Civil_War,A0221
American_English,A0222
American_Revolutionary_War,A0223
American_Samoa,A0224
American_football,A0225
American_popular_music,A0226
Americium,A0227
Amish,A0228
Ammolite,A0229
Ammonia,A0230
Ammonite,A0231
Ammosaurus,A0232
Amsterdam,A0233
Amtrak,A0234
Amur,A0235
Anaconda,A0236
Analytical_Marxism,A0237
Anarchism,A0238
Anarcho-capitalism,A0239
Anatomy,A0240
Ancient_Egypt,A0241
Ancient_Greece,A0242
Ancient_Rome,A0243
Ancient_history,A0244
Andes,A0245
Andorra,A0246
Andr%C3%A9s_Nocioni,A0247
Andrew_Carnegie,A0248
Andrew_Dickson_White,A0249
Andrew_Gonzalez,A0250
Andrew_Jackson,A0251
Andrew_Johnson,A0252
Andrew_Robinson,A0253
Andriyivskyy_Descent,A0254
Andromeda_Galaxy,A0255
Andy_Warhol,A0256
Anemia,A0257
Angel_shark,A0258
Angelica,A0259
Angkor,A0260
Angkor_Wat,A0261
Anglican_Church_of_Australia,A0262
Anglican_Communion,A0263
Anglicanism,A0264
Anglo-Saxon_literature,A0265
Angola,A0266
Anguilla,A0267
Animal,A0268
Animal_law,A0269
Animal_rights,A0270
Animation,A0271
Ankylosaurus,A0272
Ann_Arbor%2C_Michigan,A0273
Anna_Karenina,A0274
Anne_Frank,A0275
Anne_of_Great_Britain,A0276
Annibale_Bugnini,A0277
Anno_Domini,A0278
Anschluss,A0279
Ant,A0280
Antananarivo,A0281
Antarctic_Treaty_System,A0282
Antarctic_krill,A0283
Antarctica,A0284
Antarctosaurus,A0285
Anteater,A0286
Antelope,A0287
Anthony_van_Dyck,A0288
Anthropology,A0289
Antigua_and_Barbuda,A0290
Antimony,A0291
Antlion,A0292
Antoine_Lavoisier,A0293
Anton%C3%ADn_Dvo%C5%99%C3%A1k,A0294
Anton_Alexander_von_Werner,A0295
Antonio_Vivaldi,A0296
Antwerp,A0297
Apaochi,A0298
Apatosaurus,A0299
Ape,A0300
Aphid,A0301
Apollo,A0302
Apollo_11,A0303
Apollo_8,A0304
Apostolic_Succession,A0305
Apple,A0306
Applied_mathematics,A0307
Apricot,A0308
Aquarium,A0309
Arab-Israeli_conflict,A0310
Arab_League,A0311
Arabic_language,A0312
Arable_land,A0313
Aradia%2C_or_the_Gospel_of_the_Witches,A0314
Aral_Sea,A0315
Arcadia_%28play%29,A0316
Archaeoastronomy,A0317
Archaeology,A0318
Archaeopteryx,A0319
Archbishop_of_Canterbury,A0320
Archimedes,A0321
Architecture,A0322
Architecture_of_Windows_NT,A0323
Architecture_of_the_California_missions,A0324
Arctic,A0325
Arctic_Circle,A0326
Arctic_Monkeys,A0327
Arctic_Ocean,A0328
Arctic_Tern,A0329
Arecaceae,A0330
Argan,A0331
Argentina,A0332
Argon,A0333
Argyle_diamond_mine,A0334
Ariel_Sharon,A0335
Aristarchus_%28crater%29,A0336
Aristotle,A0337
Arithmetic,A0338
Armadillo,A0339
Armand_Jean_du_Plessis%2C_Cardinal_Richelieu,A0340
Armenia,A0341
Armia_Krajowa,A0342
Arnold_Schwarzenegger,A0343
Arp2_3_complex,A0344
Ars_moriendi,A0345
Arsenal_F.C.,A0346
Arsenic,A0347
Art,A0348
Arthropod,A0349
Arthur_Ernest_Percival,A0350
Arthur_Sullivan,A0351
Arthur_Upfield,A0352
Arthur_Wellesley%2C_1st_Duke_of_Wellington,A0353
Arts_and_crafts,A0354
Aruba,A0355
Arugula,A0356
Ascariasis,A0357
Asia,A0358
Asp_%28reptile%29,A0359
Asparagus,A0360
Asperger_syndrome,A0361
Assyria,A0362
Astatine,A0363
Asteroid,A0364
Asthma,A0365
Astrology,A0366
Astronomy,A0367
Astrophysics_Data_System,A0368
Asunci%C3%B3n,A0369
Ateneo_de_Manila_University,A0370
Athanasius_Kircher,A0371
Atheism,A0372
Athena,A0373
Athens,A0374
Athletics_%28track_and_field%29,A0375
Atlanta%2C_Georgia,A0376
Atlantic_Coast_Line_Railroad,A0377
Atlantic_Ocean,A0378
Atlantic_herring,A0379
Atlantic_slave_trade,A0380
Atlantis,A0381
Atom,A0382
Atonality,A0383
Attack_on_Pearl_Harbor,A0384
Attalus_I,A0385
Attention-deficit_hyperactivity_disorder,A0386
Attila_the_Hun,A0387
Auckland,A0388
Augusta%2C_Lady_Gregory,A0389
Augustan_literature,A0390
Auguste_Rodin,A0391
Augustine_of_Hippo,A0392
Augustus,A0393
Australia,A0394
Australian_English,A0395
Australian_Green_Tree_Frog,A0396
Australian_Open,A0397
Australian_Ringneck,A0398
Australian_constitutional_law,A0399
Australian_rules_football,A0400
Austria,A0401
Autism,A0402
Auto_racing,A0403
Autobianchi_Primula,A0404
Autocracy,A0405
Automated_teller_machine,A0406
Automatic_number_plate_recognition,A0407
Automobile,A0408
Autorack,A0409
Autostereogram,A0410
Autumn,A0411
Avacha_Volcano,A0412
Avalanche,A0413
Avatar__The_Last_Airbender,A0414
Avocado,A0415
Avon_Gorge,A0416
Avro_Lancaster,A0417
Axe,A0418
Ayaan_Hirsi_Ali,A0419
Aye-aye,A0420
Aymer_de_Valence%2C_2nd_Earl_of_Pembroke,A0421
Azerbaijan,A0422
Azerbaijani_people,A0423
Aztec,A0424
BAE_Systems,A0425
BASIC,A0426
BBC,A0427
BBC_television_drama,A0428
BP,A0429
BT_Tower,A0430
B_vitamins,A0431
Babe_Ruth,A0432
Baboon,A0433
Babur,A0434
Baby_Gender_Mentor,A0435
Babylonia,A0436
Backgammon,A0437
Bacteria,A0438
Baden-Powell_House,A0439
Badger,A0440
Badminton,A0441
Badugi,A0442
Baghdad,A0443
Bah%C3%A1%27%C3%AD_Faith,A0444
Bahamas,A0445
Bahrain,A0446
Baker_Island,A0447
Bald_Eagle,A0448
Baltic_Sea,A0449
Baltimore%2C_Maryland,A0450
Bamako,A0451
Banana,A0452
Bandicoot,A0453
Bangalore,A0454
Bangkok,A0455
Bangladesh,A0456
Banjul,A0457
Bank_of_China_%28Hong_Kong%29,A0458
Banknote,A0459
Banksy,A0460
Bantu,A0461
Barack_Obama,A0462
Barbados,A0463
Barbara_McClintock,A0464
Barbary_Lion,A0465
Barbary_Macaque,A0466
Barcelona,A0467
Barium,A0468
Barley,A0469
Barn_Owl,A0470
Barnacle,A0471
Baroque,A0472
Barracuda,A0473
Baruch_Spinoza,A0474
Baseball,A0475
Basel,A0476
Basil,A0477
Basil_Brush,A0478
Basilica_of_San_Francesco_d%27Assisi,A0479
Basilica_of_Santa_Maria_degli_Angeli,A0480
Basketball,A0481
Basking_shark,A0482
Bass_%28fish%29,A0483
Basset_Hound,A0484
Bassoon,A0485
Bat,A0486
Bat-eared_Fox,A0487
Bath%2C_Somerset,A0488
Bath_School_disaster,A0489
Batholith,A0490
Batman,A0491
Battle_of_Alesia,A0492
Battle_of_Amiens,A0493
Battle_of_Austerlitz,A0494
Battle_of_Badr,A0495
Battle_of_Bicocca,A0496
Battle_of_Britain,A0497
Battle_of_Cannae,A0498
Battle_of_France,A0499
Battle_of_Gettysburg,A0500
Battle_of_Grunwald,A0501
Battle_of_Hastings,A0502
Battle_of_Jutland,A0503
Battle_of_Lechaeum,A0504
Battle_of_Leyte_Gulf,A0505
Battle_of_Marathon,A0506
Battle_of_Midway,A0507
Battle_of_Moscow,A0508
Battle_of_Normandy,A0509
Battle_of_Rennell_Island,A0510
Battle_of_Sitka,A0511
Battle_of_Smolensk_%281943%29,A0512
Battle_of_Stalingrad,A0513
Battle_of_Tours,A0514
Battle_of_Vaslui,A0515
Battle_of_Warsaw_%281920%29,A0516
Battle_of_the_Bulge,A0517
Battle_of_the_Eastern_Solomons,A0518
Battle_of_the_Little_Bighorn,A0519
Battle_of_the_Santa_Cruz_Islands,A0520
Battle_of_the_Somme_%281916%29,A0521
Battles_of_the_Mexican-American_War,A0522
Bay_Area_Rapid_Transit,A0523
Bay_of_Bengal,A0524
Beach,A0525
Bean,A0526
Bear,A0527
Beatles_for_Sale,A0528
Beaver,A0529
Bedbug,A0530
Bede,A0531
Bee,A0532
Beeching_Axe,A0533
Beekeeping,A0534
Beep_%28SWBLW%29,A0535
Beer,A0536
Beet,A0537
Beetle,A0538
Behavioral_finance,A0539
Behistun_Inscription,A0540
Beijing,A0541
Beirut,A0542
Belarus,A0543
Belfast,A0544
Belgium,A0545
Belize,A0546
Belton_House,A0547
Ben-Hur_%281959_film%29,A0548
Ben_Jonson,A0549
Ben_Nevis,A0550
Bench_language,A0551
Benin,A0552
Benito_Mussolini,A0553
Benjamin_Britten,A0554
Benjamin_Disraeli%2C_1st_Earl_of_Beaconsfield,A0555
Benjamin_Franklin,A0556
Benjamin_Harrison,A0557
Benjamin_Mountfort,A0558
Benjamin_of_Tudela,A0559
Benzene,A0560
Berber_languages,A0561
Beriberi,A0562
Berkelium,A0563
Berlin,A0564
Berlin_Wall,A0565
Bermuda,A0566
Bernard_Hinault,A0567
Bertrand_Russell,A0568
Beryllium,A0569
Betelgeuse_incident,A0570
Bette_Davis,A0571
Bhutan,A0572
Bible,A0573
Bicycle,A0574
Bicycle_Thieves,A0575
Big_Bang,A0576
Bill_Clinton,A0577
Bill_Gates,A0578
Billie_Holiday,A0579
Binary_star,A0580
Binoculars,A0581
Binomial_nomenclature,A0582
Biodiesel,A0583
Biodiversity,A0584
Biofuel,A0585
Bioinformatics,A0586
Biology,A0587
Bionicle__Mask_of_Light,A0588
Biosphere,A0589
Biotechnology,A0590
Bird,A0591
Bird_migration,A0592
Bird_of_prey,A0593
Birmingham,A0594
Birth_control,A0595
Bismuth,A0596
Bison,A0597
Bissau,A0598
Bj%C3%B6rn_Borg,A0599
Bj%C3%B8rn%C3%B8ya,A0600
Black-backed_Jackal,A0601
Black-footed_Cat,A0602
Black-winged_Stilt,A0603
Black_Death,A0604
Black_Rhinoceros,A0605
Black_Robin,A0606
Black_Sea,A0607
Black_Seminoles,A0608
Black_Wildebeest,A0609
Black_hole,A0610
Black_panther,A0611
Black_pepper,A0612
Black_widow_spider,A0613
Blackbird,A0614
Blackcap,A0615
Blackjack,A0616
Blackpool,A0617
Blacktip_reef_shark,A0618
Blade_Runner,A0619
Blaise_Pascal,A0620
Blitzkrieg,A0621
Blokus,A0622
Blood_type,A0623
Blue_Jay,A0624
Blue_Peter,A0625
Blue_Tit,A0626
Blue_Whale,A0627
Blue_Wildebeest,A0628
Blue_shark,A0629
Bluegrass_music,A0630
Bluetooth,A0631
Boa,A0632
Board_game,A0633
Boat,A0634
Bob_Dylan,A0635
Bob_Marley,A0636
Bobcat,A0637
Body_mass_index,A0638
Bodyline,A0639
Boeing_747,A0640
Bog,A0641
Bogot%C3%A1,A0642
Bohemian_Rhapsody,A0643
Bohor_Reedbuck,A0644
Bohrium,A0645
Bolivia,A0646
Bologna,A0647
Boltysh_crater,A0648
Bongo_%28antelope%29,A0649
Bonobo,A0650
Bontebok,A0651
Booby,A0652
Book,A0653
Book_of_Common_Prayer,A0654
Book_of_Kells,A0655
Boolean_logic,A0656
Borage,A0657
Boris_Becker,A0658
Boron,A0659
Bosnia_and_Herzegovina,A0660
Boston%2C_Massachusetts,A0661
Boston_RFC,A0662
Boston_Terrier,A0663
Boston_and_Lowell_Railroad,A0664
Botany,A0665
Botswana,A0666
Bottlenose_Dolphin,A0667
Boudica,A0668
Boundary_Waters_Canoe_Area_Wilderness,A0669
Bourbonnais_train_accident,A0670
Bouvet_Island,A0671
Box_jellyfish,A0672
Boy_Scout,A0673
Boyle_Roche,A0674
Brabantian,A0675
Brabham,A0676
Brachiosaurus,A0677
Brahman,A0678
Brain,A0679
Bran,A0680
Brandon_Routh,A0681
Bras%C3%ADlia,A0682
Brass_instrument,A0683
Bratislava,A0684
Brazil,A0685
Bread,A0686
Breaker_Morant,A0687
Bretton_Woods_system,A0688
Brian_Close,A0689
Bridge,A0690
Brighton,A0691
Brisbane,A0692
Bristol,A0693
British_East_India_Company,A0694
British_Empire,A0695
British_English,A0696
British_House_of_Commons,A0697
British_Indian_Ocean_Territory,A0698
British_Isles,A0699
British_Isles_%28terminology%29,A0700
British_Virgin_Islands,A0701
British_monarchy,A0702
Britney_Spears,A0703
Broadcasting,A0704
Bromine,A0705
Bronze_Age,A0706
Brothers_Grimm,A0707
Brown_trout,A0708
Bruce_Lee,A0709
Bruce_Springsteen,A0710
Brunei,A0711
Brush,A0712
Brussels,A0713
Brute_force_attack,A0714
Bryce_Canyon_National_Park,A0715
Btrieve,A0716
Bucharest,A0717
Buckingham_Palace,A0718
Buckminster_Fuller,A0719
Budapest,A0720
Buddha,A0721
Buddhism,A0722
Buddhist_art,A0723
Buenos_Aires,A0724
Buffy_the_Vampire_Slayer,A0725
Bulgaria,A0726
Bull_shark,A0727
Burkina_Faso,A0728
Burundi,A0729
Bushbuck,A0730
Bushpig,A0731
Business,A0732
Butter,A0733
Button,A0734
Byzantine_Empire,A0735
C%2B%2B,A0736
C%C3%A6dmon,A0737
C%C3%B4te_d%27Ivoire,A0738
C._S._Lewis,A0739
CF7,A0740
CPU_cache,A0741
CS_gas,A0742
Cactus,A0743
Cadmium,A0744
Caesar_cipher,A0745
Caesium,A0746
Caesium_fluoride,A0747
Cai_Lun,A0748
Cairo,A0749
Calcite,A0750
Calcium,A0751
Calcium_chloride,A0752
Calculus,A0753
Calgary,A0754
California,A0755
California_Southern_Railroad,A0756
Californium,A0757
Calligraphy,A0758
Caloris_Basin,A0759
Calvin_Coolidge,A0760
Calvin_and_Hobbes,A0761
Camarasaurus,A0762
Cambodia,A0763
Cambrian,A0764
Cambrian_explosion,A0765
Cambridge,A0766
Camel,A0767
Cameroon,A0768
Canada,A0769
Canada_Goose,A0770
Canadian_Charter_of_Rights_and_Freedoms,A0771
Canadian_English,A0772
Canadian_House_of_Commons,A0773
Canadian_Pacific_Railway,A0774
Canadian_Senate,A0775
Canadian_football,A0776
Canal,A0777
Canaletto,A0778
Canberra,A0779
Cancer,A0780
Cane_Toad,A0781
Canola,A0782
Canterbury,A0783
Canterbury_Cathedral,A0784
Canute_the_Great,A0785
Capacitance,A0786
Cape_Canaveral,A0787
Cape_Horn,A0788
Cape_Lion,A0789
Cape_Porcupine,A0790
Cape_Town,A0791
Cape_Verde,A0792
Capital,A0793
Capitalism,A0794
Capitoline_Triad,A0795
Captain_Marvel_%28DC_Comics%29,A0796
Caracas,A0797
Caratacus,A0798
Caravaggio,A0799
Carbon,A0800
Carbon_dioxide,A0801
Carboniferous,A0802
Carcinus_maenas,A0803
Card_game,A0804
Cardiff,A0805
Caribbean_Sea,A0806
Carl_Friedrich_Gauss,A0807
Carl_G._Fisher,A0808
Carl_Jung,A0809
Carl_Lewis,A0810
Carl_Sagan,A0811
Carlsbad_Caverns_National_Park,A0812
Carnivore,A0813
Caroline_Island,A0814
Carolingian_Gospel_Book_%28British_Library%2C_MS_Add._11848%29,A0815
Carolus_Linnaeus,A0816
Carrot,A0817
Casablanca_%28film%29,A0818
Casimir_effect,A0819
Caspian_Sea,A0820
Cassini-Huygens,A0821
Cassowary,A0822
Castra,A0823
Cat,A0824
Cat%27s_Eye_Nebula,A0825
Cat_Stevens,A0826
Cataract,A0827
Cataract_surgery,A0828
Cathedral_of_Magdeburg,A0829
Catherine_Cranston,A0830
Catherine_II_of_Russia,A0831
Catholic_social_teaching,A0832
Cattle,A0833
Cave,A0834
Cayman_Islands,A0835
Celeriac,A0836
Celery,A0837
Celine_Dion,A0838
Cell_%28biology%29,A0839
Cello,A0840
Celtic_F.C.,A0841
Celtic_Park,A0842
Celtic_mythology,A0843
Central_African_Republic,A0844
Central_processing_unit,A0845
Ceratopsidae,A0846
Cereal,A0847
Cerebellum,A0848
Ceres_%28dwarf_planet%29,A0849
Cerium,A0850
Chad,A0851
Chadian-Sudanese_conflict,A0852
Chaffinch,A0853
Channel_Islands,A0854
Charlemagne,A0855
Charles_Babbage,A0856
Charles_Darwin,A0857
Charles_Dickens,A0858
Charles_Etienne_Brasseur_de_Bourbourg,A0859
Charles_II_of_England,A0860
Charles_I_of_England,A0861
Charles_Sumner,A0862
Charles_V%2C_Holy_Roman_Emperor,A0863
Charlie_Chaplin,A0864
Charlotte%27s_Web,A0865
Chartism,A0866
Che_Guevara,A0867
Cheers,A0868
Cheese,A0869
Cheetah,A0870
Chelsea_F.C.,A0871
Chemical_element,A0872
Chemical_synapse,A0873
Chemistry,A0874
Chennai,A0875
Chepstow_Bridge,A0876
Chernobyl_disaster,A0877
Chess,A0878
Chester_A._Arthur,A0879
Chestnut,A0880
Chew_Magna,A0881
Chew_Stoke,A0882
Chew_Valley,A0883
Chew_Valley_Lake,A0884
Chicago,A0885
Chicago_Bears,A0886
Chicago_and_North_Western_Railway,A0887
Chicken,A0888
Child,A0889
Children%27s_Crusade,A0890
Children%27s_rights_movement,A0891
Chile,A0892
Chiltern_Hills,A0893
Chimpanzee,A0894
China,A0895
Chinese_Rites_controversy,A0896
Chinese_language,A0897
Chinyingi,A0898
Chives,A0899
Chlorine,A0900
Chocolate,A0901
Chola_dynasty,A0902
Cholera,A0903
Chordate,A0904
Chris_Evert,A0905
Christian_Bale,A0906
Christian_monasticism,A0907
Christianity,A0908
Christina_Aguilera,A0909
Christmas_Island,A0910
Christopher_Columbus,A0911
Christopher_Wren,A0912
Chromatic_aberration,A0913
Chromatophore,A0914
Chromium,A0915
Church_of_England,A0916
Church_of_Ireland,A0917
Cicely,A0918
Cider,A0919
Cinema_of_the_United_States,A0920
Citizen_Kane,A0921
Citizenship,A0922
Citrus,A0923
City,A0924
City_status_in_the_United_Kingdom,A0925
Civil_War_token,A0926
Civil_rights,A0927
Civil_society,A0928
Civilization,A0929
Civilization_%28computer_game%29,A0930
Clarinet,A0931
Classic_female_blues,A0932
Claude_L%C3%A9vi-Strauss,A0933
Claude_Monet,A0934
Claudius,A0935
Clay,A0936
Cleopatra_VII,A0937
Cleopatra_VII_of_Egypt,A0938
Cleveland%2C_Ohio,A0939
Clifton_Suspension_Bridge,A0940
Climate,A0941
Climate_change,A0942
Clock,A0943
Clone_Wars_%28Star_Wars%29,A0944
Clothing,A0945
Cloud,A0946
Coal,A0947
Coal_Tit,A0948
Cobalt,A0949
Coccinellidae,A0950
Cochineal,A0951
Cockatiel,A0952
Cocoa,A0953
Coconut,A0954
Coconut_crab,A0955
Coconut_oil,A0956
Cocos_%28Keeling%29_Islands,A0957
Cod,A0958
Code_of_Hammurabi,A0959
Coffee,A0960
Coin,A0961
Cold_War,A0962
Colditz_Castle,A0963
Colima_%28volcano%29,A0964
Collapse_of_the_World_Trade_Center,A0965
Colley_Cibber,A0966
Cologne,A0967
Colombia,A0968
Colombo,A0969
Color,A0970
Color_Graphics_Adapter,A0971
Color_blindness,A0972
Colorado_River,A0973
Colossus_of_Rhodes,A0974
Columba,A0975
Columbia_River,A0976
Columbine_High_School_massacre,A0977
Columbus%2C_Ohio,A0978
Comet,A0979
Comet_Hale-Bopp,A0980
Comet_Halley,A0981
Comet_Hyakutake,A0982
Comet_Shoemaker-Levy_9,A0983
Comet_White-Ortiz-Bolelli,A0984
Comics,A0985
Comma_Johanneum,A0986
Commodore_64,A0987
Common_Basilisk,A0988
Common_Cuckoo,A0989
Common_Eider,A0990
Common_Eland,A0991
Common_Hazel,A0992
Common_Pheasant,A0993
Common_Tern,A0994
Common_agouti,A0995
Common_cold,A0996
Common_sage,A0997
Commonwealth_Games,A0998
Communication,A0999
Communism,A1000
Community,A1001
Comoros,A1002
Compact_Disc,A1003
Company_%28law%29,A1004
Compsognathus,A1005
Computational_chemistry,A1006
Computer,A1007
Computer_and_video_games,A1008
Computer_programming,A1009
Computer_science,A1010
Conakry,A1011
Concorde,A1012
Condoleezza_Rice,A1013
Conflict,A1014
Confucianism,A1015
Confucius,A1016
Congo_River,A1017
Consolation_of_Philosophy,A1018
Constantine_I,A1019
Constantine_II_of_Scotland,A1020
Constitution_of_May_3%2C_1791,A1021
Constitutional_monarchy,A1022
Constructivism_%28art%29,A1023
Consumer_protection,A1024
Contact_lens,A1025
Continent,A1026
Continental_crust,A1027
Control_car_%28rail%29,A1028
Convention_on_the_International_Trade_in_Endangered_Species_of_Wild_Flora_and_Fauna,A1029
Convention_on_the_Rights_of_the_Child,A1030
Cook_Islands,A1031
Cookiecutter_shark,A1032
Cooperative,A1033
Coot,A1034
Copenhagen,A1035
Copenhagen_Fire_of_1728,A1036
Copper,A1037
Copper%28I%29_chloride,A1038
Coriander,A1039
Corinthian_War,A1040
Cormorant,A1041
Corn_oil,A1042
Cornea,A1043
Cornell_University,A1044
Coronation_Street,A1045
Corporate_finance,A1046
Corporation,A1047
Corrosion,A1048
Corundum,A1049
Cosmic_inflation,A1050
Cosmic_microwave_background_radiation,A1051
Costa_Rica,A1052
Costume_design,A1053
Cotopaxi,A1054
Cotswolds,A1055
Cotton,A1056
Coulomb%27s_law,A1057
Country,A1058
Coupling_%28railway%29,A1059
Coventry,A1060
Crab_Nebula,A1061
Crash_test_dummy,A1062
Craters_of_the_Moon_National_Monument_and_Preserve,A1063
Craton,A1064
Creation-evolution_controversy,A1065
Creationism,A1066
Creative_Commons,A1067
Cretaceous,A1068
Cretaceous-Tertiary_extinction_event,A1069
Cricket,A1070
Crime,A1071
Crime_and_Punishment,A1072
Crime_in_Mexico,A1073
Crimean_Karaites,A1074
Crimean_War,A1075
Crimson-collared_Tanager,A1076
Cristero_War,A1077
Criticism_of_the_War_on_Terrorism,A1078
Croatia,A1079
Crocodile,A1080
Crohn%27s_disease,A1081
Cross_Fell,A1082
Crossbill,A1083
Crow,A1084
Crown_Jewels_of_the_United_Kingdom,A1085
Crusades,A1086
Crust_%28geology%29,A1087
Crustacean,A1088
Cryptography,A1089
Crystal,A1090
Crystallographic_defects_in_diamond,A1091
Cuba,A1092
Cubeb,A1093
Cubism,A1094
Cuckmere_Haven,A1095
Cultivar,A1096
Cultural_diversity,A1097
Cultural_identity,A1098
Culture,A1099
Culture_of_the_Democratic_Republic_of_the_Congo,A1100
Curium,A1101
Currency,A1102
Cyanocobalamin,A1103
Cyberpunk,A1104
Cyclamen,A1105
Cyclone_Percy,A1106
Cyclone_Rosita,A1107
Cyclops,A1108
