From_ArticleID,To_ArticleID
A0020,A0009
A0020,A0010
A0020,A0011
A0020,A0013
A0020,A0016
A0020,A0017
A0020,A0018
A0020,A0025
A0020,A0027
A0020,A0028
A0020,A0039
A0020,A0040
A0020,A0041
A0020,A0043
A0020,A0051
A0020,A0057
A0020,A0059
A0020,A0060
A0020,A0061
A0020,A0063
A0020,A0118
A0020,A0128
A0020,A0182
A0020,A0223
A0020,A0276
A0020,A0293
A0020,A0296
A0020,A0394
A0020,A0556
A0020,A0755
A0020,A0793
A0020,A0807
A0020,A0816
A0020,A0831
A0020,A0895
A0020,A1155
A0020,A1172
A0020,A1309
A0020,A1311
A0020,A1321
A0020,A1372
A0020,A1386
A0020,A1569
A0020,A1591
A0020,A1592
A0020,A1596
A0020,A1678
A0020,A1686
A0020,A1729
A0020,A2093
A0020,A2099
A0020,A2116
A0020,A2211
A0020,A2222
A0020,A2234
A0020,A2254
A0020,A2297
A0020,A2448
A0020,A2539
A0020,A2561
A0020,A2918
A0020,A2919
A0020,A2950
A0020,A2956
A0020,A3012
A0020,A3135
A0020,A3207
A0020,A3214
A0020,A3240
A0020,A3247
A0020,A3292
A0020,A3343
A0020,A3346
A0020,A3568
A0020,A3594
A0020,A3655
A0020,A3733
A0020,A3761
A0020,A3804
A0020,A3805
A0020,A3830
A0020,A3886
A0020,A3887
A0020,A3975
A0020,A4118
A0020,A4120
A0020,A4148
A0020,A4298
A0020,A4376
A0020,A4386
A0020,A4410
A0020,A4494
A0020,A4524
A0021,A0129
A0021,A0378
A0021,A1227
A0021,A1538
A0021,A1631
A0021,A1808
A0021,A2419
A0021,A2676
A0021,A2831
A0021,A3006
A0021,A3160
A0021,A3375
A0021,A4039
A0021,A4177
A0021,A4241
A0021,A4298
A0021,A4306
A0022,A0188
A0022,A0310
A0022,A0394
A0022,A0427
A0022,A0688
A0022,A0769
A0022,A0892
A0022,A0947
A0022,A0962
A0022,A1333
A0022,A1355
A0022,A1419
A0022,A1735
A0022,A2145
A0022,A2147
A0022,A2178
A0022,A2374
A0022,A2419
A0022,A2464
A0022,A2663
A0022,A2748
A0022,A2763
A0022,A2782
A0022,A2932
A0022,A2956
A0022,A2971
A0022,A2985
A0022,A3012
A0022,A3030
A0022,A3197
A0022,A3208
A0022,A3217
A0022,A3323
A0022,A3388
A0022,A3496
A0022,A3568
A0022,A3634
A0022,A3804
A0022,A3816
A0022,A3956
A0022,A3981
A0022,A4293
A0022,A4294
A0022,A4297
A0022,A4298
A0022,A4307
A0022,A4349
A0022,A4466
A0022,A4530
A0022,A4543
A0022,A4573
A0023,A0268
A0023,A0306
A0023,A0413
A0023,A0755
A0023,A0801
A0023,A0976
A0023,A1182
A0023,A1283
A0023,A1284
A0023,A1375
A0023,A1384
A0023,A1535
A0023,A1554
A0023,A1642
A0023,A1709
A0023,A2026
A0023,A2079
A0023,A2248
A0023,A2602
A0023,A2789
A0023,A2833
A0023,A2860
A0023,A3031
A0023,A3041
A0023,A3095
A0023,A3332
A0023,A3415
A0023,A3425
A0023,A3676
A0023,A3765
A0023,A3802
A0023,A4181
A0023,A4193
A0023,A4198
A0023,A4276
A0023,A4298
A0023,A4300
A0023,A4381
A0023,A4425
A0023,A4432
A0023,A4466
A0023,A4511
A0023,A4568
A0024,A0755
A0024,A0806
A0024,A1341
A0024,A1342
A0024,A1809
A0024,A2227
A0024,A2289
A0024,A2746
A0024,A2748
A0024,A2974
A0024,A3135
A0024,A3149
A0024,A4241
A0024,A4276
A0024,A4298
A0024,A4396
A0025,A0007
A0025,A0008
A0025,A0009
A0025,A0010
A0025,A0011
A0025,A0013
A0025,A0016
A0025,A0018
A0025,A0020
A0025,A0027
A0025,A0028
A0025,A0039
A0025,A0040
A0025,A0041
A0025,A0043
A0025,A0051
A0025,A0057
A0025,A0059
A0025,A0060
A0025,A0061
A0025,A0063
A0025,A0098
A0025,A0178
A0025,A0181
A0025,A0185
A0025,A0221
A0025,A0251
A0025,A0289
A0025,A0294
A0025,A0374
A0025,A0378
A0025,A0394
A0025,A0444
A0025,A0545
A0025,A0555
A0025,A0646
A0025,A0694
A0025,A0695
A0025,A0707
A0025,A0769
A0025,A0807
A0025,A0857
A0025,A0858
A0025,A0892
A0025,A0895
A0025,A0934
A0025,A0968
A0025,A1052
A0025,A1075
A0025,A1092
A0025,A1217
A0025,A1304
A0025,A1306
A0025,A1333
A0025,A1342
A0025,A1386
A0025,A1407
A0025,A1421
A0025,A1434
A0025,A1448
A0025,A1487
A0025,A1511
A0025,A1519
A0025,A1537
A0025,A1567
A0025,A1569
A0025,A1587
A0025,A1600
A0025,A1613
A0025,A1695
A0025,A1707
A0025,A1778
A0025,A1795
A0025,A1801
A0025,A1811
A0025,A1896
A0025,A1905
A0025,A1996
A0025,A2000
A0025,A2096
A0025,A2129
A0025,A2184
A0025,A2192
A0025,A2210
A0025,A2224
A0025,A2227
A0025,A2242
A0025,A2324
A0025,A2360
A0025,A2419
A0025,A2445
A0025,A2521
A0025,A2541
A0025,A2560
A0025,A2567
A0025,A2637
A0025,A2656
A0025,A2660
A0025,A2721
A0025,A2748
A0025,A2751
A0025,A2880
A0025,A2918
A0025,A2919
A0025,A2933
A0025,A2974
A0025,A2976
A0025,A2987
A0025,A3011
A0025,A3012
A0025,A3050
A0025,A3114
A0025,A3115
A0025,A3151
A0025,A3160
A0025,A3207
A0025,A3211
A0025,A3224
A0025,A3226
A0025,A3299
A0025,A3327
A0025,A3375
A0025,A3382
A0025,A3391
A0025,A3447
A0025,A3461
A0025,A3499
A0025,A3518
A0025,A3538
A0025,A3539
A0025,A3568
A0025,A3580
A0025,A3608
A0025,A3651
A0025,A3664
A0025,A3707
A0025,A3745
A0025,A3750
A0025,A3756
A0025,A3774
A0025,A3804
A0025,A3811
A0025,A3830
A0025,A3832
A0025,A3886
A0025,A3887
A0025,A3924
A0025,A3969
A0025,A3989
A0025,A4015
A0025,A4016
A0025,A4084
A0025,A4120
A0025,A4137
A0025,A4288
A0025,A4298
A0025,A4330
A0025,A4349
A0025,A4357
A0025,A4360
A0025,A4367
A0025,A4403
A0025,A4489
A0025,A4542
A0025,A4568
A0025,A4600
A0025,A4604
A0026,A0042
A0026,A0050
A0026,A0062
A0026,A0364
A0026,A0807
A0026,A0850
A0026,A0979
A0026,A1044
A0026,A1160
A0026,A1169
A0026,A1408
A0026,A1538
A0026,A1599
A0026,A1695
A0026,A1766
A0026,A2023
A0026,A2309
A0026,A2371
A0026,A2665
A0026,A2748
A0026,A2767
A0026,A2833
A0026,A3147
A0026,A3160
A0026,A3259
A0026,A3276
A0026,A3535
A0026,A3792
A0026,A3872
A0026,A3940
A0026,A4286
A0026,A4351
A0027,A0007
A0027,A0008
A0027,A0009
A0027,A0010
A0027,A0011
A0027,A0013
A0027,A0016
A0027,A0018
A0027,A0020
A0027,A0025
A0027,A0028
A0027,A0039
A0027,A0040
A0027,A0041
A0027,A0043
A0027,A0051
A0027,A0057
A0027,A0059
A0027,A0060
A0027,A0061
A0027,A0063
A0027,A0393
A0027,A0668
A0027,A0721
A0027,A0722
A0027,A0895
A0027,A0935
A0027,A2240
A0027,A2242
A0027,A2300
A0027,A2485
A0027,A2862
A0027,A3178
A0027,A3286
A0027,A3306
A0027,A3531
A0027,A3860
A0028,A0007
A0028,A0008
A0028,A0009
A0028,A0010
A0028,A0011
A0028,A0013
A0028,A0016
A0028,A0018
A0028,A0020
A0028,A0025
A0028,A0027
A0028,A0039
A0028,A0040
A0028,A0041
A0028,A0043
A0028,A0051
A0028,A0057
A0028,A0059
A0028,A0060
A0028,A0061
A0028,A0063
A0028,A0278
A0028,A0393
A0028,A0937
A0028,A1794
A0028,A2242
A0028,A2304
A0028,A2360
A0028,A2659
A0028,A3531
A0028,A3540
A0028,A4368
A0029,A0045
A0029,A0046
A0029,A1386
A0029,A4298
A0030,A0029
A0030,A0045
A0030,A0895
A0030,A3195
A0030,A4298
A0030,A4543
A0031,A0032
A0031,A0034
A0031,A0378
A0031,A0452
A0031,A0566
A0031,A0769
A0031,A1228
A0031,A1819
A0031,A1847
A0031,A2748
A0031,A3323
A0031,A3375
A0031,A4039
A0031,A4224
A0031,A4232
A0031,A4234
A0031,A4238
A0031,A4241
A0032,A0031
A0032,A0034
A0032,A0378
A0032,A0463
A0032,A0566
A0032,A0685
A0032,A0777
A0032,A0792
A0032,A0806
A0032,A0835
A0032,A1092
A0032,A1228
A0032,A1341
A0032,A1538
A0032,A1804
A0032,A1808
A0032,A1819
A0032,A1847
A0032,A2041
A0032,A2043
A0032,A2044
A0032,A2052
A0032,A2054
A0032,A2057
A0032,A2060
A0032,A2206
A0032,A2383
A0032,A2748
A0032,A3135
A0032,A3375
A0032,A3500
A0032,A4039
A0032,A4226
A0032,A4237
A0032,A4241
A0032,A4261
A0032,A4276
A0032,A4298
A0032,A4349
A0032,A4451
A0033,A0017
A0033,A0038
A0033,A0129
A0033,A0150
A0033,A0284
A0033,A0325
A0033,A0358
A0033,A0378
A0033,A0394
A0033,A0456
A0033,A0524
A0033,A0577
A0033,A0584
A0033,A0769
A0033,A0892
A0033,A0895
A0033,A0903
A0033,A0968
A0033,A1261
A0033,A1284
A0033,A1554
A0033,A1676
A0033,A1685
A0033,A1771
A0033,A2099
A0033,A2101
A0033,A2110
A0033,A2119
A0033,A2145
A0033,A2171
A0033,A2184
A0033,A2332
A0033,A2355
A0033,A2364
A0033,A2402
A0033,A2618
A0033,A2622
A0033,A2721
A0033,A2748
A0033,A2803
A0033,A2833
A0033,A2902
A0033,A2931
A0033,A2965
A0033,A3135
A0033,A3211
A0033,A3413
A0033,A3558
A0033,A3568
A0033,A3600
A0033,A3677
A0033,A3745
A0033,A3795
A0033,A3804
A0033,A3806
A0033,A3860
A0033,A3935
A0033,A3969
A0033,A3981
A0033,A4032
A0033,A4149
A0033,A4165
A0033,A4246
A0033,A4294
A0033,A4297
A0033,A4307
A0033,A4347
A0033,A4349
A0033,A4418
A0033,A4543
A0034,A0021
A0034,A0031
A0034,A0032
A0034,A0378
A0034,A0452
A0034,A0546
A0034,A0566
A0034,A0792
A0034,A0806
A0034,A0923
A0034,A0960
A0034,A0968
A0034,A1092
A0034,A1228
A0034,A1341
A0034,A1434
A0034,A1538
A0034,A1685
A0034,A1804
A0034,A1811
A0034,A1819
A0034,A1847
A0034,A2000
A0034,A2015
A0034,A2042
A0034,A2047
A0034,A2049
A0034,A2051
A0034,A2057
A0034,A2058
A0034,A2061
A0034,A2062
A0034,A2083
A0034,A2130
A0034,A2206
A0034,A2748
A0034,A2796
A0034,A2843
A0034,A2974
A0034,A3022
A0034,A3050
A0034,A3217
A0034,A3456
A0034,A3830
A0034,A4039
A0034,A4229
A0034,A4230
A0034,A4231
A0034,A4235
A0034,A4240
A0034,A4241
A0034,A4261
A0034,A4276
A0034,A4298
A0034,A4307
A0034,A4346
A0035,A1386
A0035,A1434
A0035,A1569
A0035,A2460
A0035,A2539
A0035,A2583
A0035,A2956
A0035,A3125
A0035,A3303
A0035,A3830
A0036,A0033
A0036,A0128
A0036,A1284
A0036,A2099
A0036,A2320
A0036,A2326
A0036,A2711
A0036,A2867
A0036,A3137
A0036,A3765
A0036,A4297
A0036,A4521
A0037,A0135
A0037,A0266
A0037,A0729
A0037,A1177
A0037,A1284
A0037,A1288
A0037,A1783
A0037,A2331
A0037,A2400
A0037,A3575
A0037,A3679
A0037,A3887
A0037,A3999
A0037,A4297
A0037,A4597
A0038,A0033
A0038,A0394
A0038,A0455
A0038,A1284
A0038,A2099
A0038,A2101
A0038,A2110
A0038,A2204
A0038,A2271
A0038,A2369
A0038,A2594
A0038,A2618
A0038,A2622
A0038,A2699
A0038,A3703
A0038,A3745
A0038,A3860
A0038,A3935
A0038,A4032
A0038,A4246
A0038,A4297
A0039,A0007
A0039,A0008
A0039,A0009
A0039,A0010
A0039,A0011
A0039,A0013
A0039,A0016
A0039,A0018
A0039,A0020
A0039,A0025
A0039,A0027
A0039,A0028
A0039,A0040
A0039,A0041
A0039,A0043
A0039,A0051
A0039,A0057
A0039,A0059
A0039,A0060
A0039,A0061
A0039,A0063
A0039,A0067
A0039,A0129
A0039,A0212
A0039,A0358
A0039,A0383
A0039,A0408
A0039,A0595
A0039,A0780
A0039,A0895
A0039,A0962
A0039,A1000
A0039,A1007
A0039,A1092
A0039,A1094
A0039,A1355
A0039,A1433
A0039,A1434
A0039,A1440
A0039,A1450
A0039,A1453
A0039,A1476
A0039,A1477
A0039,A1505
A0039,A1569
A0039,A1695
A0039,A2096
A0039,A2123
A0039,A2133
A0039,A2178
A0039,A2184
A0039,A2227
A0039,A2233
A0039,A2244
A0039,A2245
A0039,A2432
A0039,A2687
A0039,A2835
A0039,A2880
A0039,A2929
A0039,A2939
A0039,A2963
A0039,A2998
A0039,A3031
A0039,A3160
A0039,A3217
A0039,A3224
A0039,A3245
A0039,A3375
A0039,A3395
A0039,A3415
A0039,A3539
A0039,A3558
A0039,A3568
A0039,A3569
A0039,A3668
A0039,A3804
A0039,A3816
A0039,A3830
A0039,A3851
A0039,A4011
A0039,A4015
A0039,A4018
A0039,A4067
A0039,A4161
A0039,A4202
A0039,A4297
A0039,A4298
A0039,A4364
A0039,A4373
A0039,A4406
A0039,A4542
A0039,A4543
A0040,A0033
A0040,A0036
A0040,A0039
A0040,A0067
A0040,A0128
A0040,A0129
A0040,A0140
A0040,A0310
A0040,A0320
A0040,A0332
A0040,A0335
A0040,A0343
A0040,A0364
A0040,A0394
A0040,A0577
A0040,A0578
A0040,A0584
A0040,A0610
A0040,A0619
A0040,A0685
A0040,A0738
A0040,A0769
A0040,A0794
A0040,A0821
A0040,A0929
A0040,A0968
A0040,A0981
A0040,A1000
A0040,A1013
A0040,A1092
A0040,A1139
A0040,A1175
A0040,A1177
A0040,A1180
A0040,A1218
A0040,A1290
A0040,A1297
A0040,A1313
A0040,A1384
A0040,A1434
A0040,A1440
A0040,A1473
A0040,A1502
A0040,A1538
A0040,A1569
A0040,A1685
A0040,A1688
A0040,A1695
A0040,A1725
A0040,A1726
A0040,A1744
A0040,A1746
A0040,A1794
A0040,A1811
A0040,A1837
A0040,A1847
A0040,A1867
A0040,A1998
A0040,A1999
A0040,A2042
A0040,A2044
A0040,A2054
A0040,A2057
A0040,A2099
A0040,A2101
A0040,A2110
A0040,A2130
A0040,A2133
A0040,A2145
A0040,A2147
A0040,A2178
A0040,A2184
A0040,A2227
A0040,A2232
A0040,A2271
A0040,A2346
A0040,A2355
A0040,A2378
A0040,A2406
A0040,A2421
A0040,A2434
A0040,A2464
A0040,A2483
A0040,A2484
A0040,A2539
A0040,A2596
A0040,A2611
A0040,A2615
A0040,A2625
A0040,A2665
A0040,A2666
A0040,A2667
A0040,A2687
A0040,A2735
A0040,A2748
A0040,A2827
A0040,A2932
A0040,A2953
A0040,A2956
A0040,A2960
A0040,A2965
A0040,A3014
A0040,A3104
A0040,A3137
A0040,A3197
A0040,A3217
A0040,A3224
A0040,A3276
A0040,A3286
A0040,A3303
A0040,A3313
A0040,A3314
A0040,A3336
A0040,A3498
A0040,A3551
A0040,A3568
A0040,A3601
A0040,A3679
A0040,A3688
A0040,A3692
A0040,A3793
A0040,A3795
A0040,A3804
A0040,A3808
A0040,A3823
A0040,A3830
A0040,A3860
A0040,A3861
A0040,A3876
A0040,A3878
A0040,A3881
A0040,A3891
A0040,A3892
A0040,A3921
A0040,A4011
A0040,A4030
A0040,A4032
A0040,A4078
A0040,A4137
A0040,A4170
A0040,A4179
A0040,A4192
A0040,A4193
A0040,A4246
A0040,A4248
A0040,A4256
A0040,A4277
A0040,A4282
A0040,A4294
A0040,A4297
A0040,A4298
A0040,A4349
A0040,A4406
A0040,A4539
A0040,A4543
A0041,A0007
A0041,A0008
A0041,A0009
A0041,A0010
A0041,A0011
A0041,A0013
A0041,A0016
A0041,A0018
A0041,A0020
A0041,A0025
A0041,A0027
A0041,A0028
A0041,A0039
A0041,A0040
A0041,A0043
A0041,A0051
A0041,A0057
A0041,A0059
A0041,A0060
A0041,A0061
A0041,A0063
A0041,A0278
A0041,A0748
A0041,A1434
A0041,A1844
A0041,A2816
A0041,A3373
A0041,A3872
A0042,A0026
A0042,A0050
A0042,A0364
A0042,A1160
A0042,A1695
A0042,A1766
A0042,A2665
A0042,A2833
A0042,A3872
A0043,A0007
A0043,A0008
A0043,A0009
A0043,A0010
A0043,A0011
A0043,A0013
A0043,A0016
A0043,A0018
A0043,A0020
A0043,A0025
A0043,A0027
A0043,A0028
A0043,A0039
A0043,A0040
A0043,A0041
A0043,A0051
A0043,A0057
A0043,A0059
A0043,A0060
A0043,A0061
A0043,A0063
A0043,A0278
A0043,A0722
A0043,A0922
A0043,A1714
A0043,A2099
A0043,A2227
A0043,A2613
A0043,A2748
A0043,A3012
A0043,A3531
A0043,A3981
A0043,A4282
A0044,A0045
A0044,A0887
A0044,A3519
A0044,A4298
A0045,A0029
A0045,A0030
A0045,A0044
A0045,A0046
A0045,A0058
A0045,A1434
A0045,A1519
A0045,A1773
A0045,A3012
A0045,A3195
A0046,A0045
A0046,A1511
A0046,A3195
A0046,A3217
A0046,A4298
A0047,A0048
A0047,A0049
A0047,A1160
A0047,A1456
A0047,A1766
A0047,A1889
A0047,A2067
A0047,A2157
A0047,A2309
A0047,A2665
A0047,A3260
A0047,A3632
A0047,A3792
A0047,A3872
A0047,A3940
A0047,A4425
A0048,A0047
A0048,A0049
A0048,A0230
A0048,A0946
A0048,A1160
A0048,A1456
A0048,A1643
A0048,A1766
A0048,A2309
A0048,A3792
A0048,A3872
A0048,A3940
A0048,A4425
A0049,A0047
A0049,A0048
A0049,A1160
A0049,A1456
A0049,A1643
A0049,A1766
A0049,A2309
A0049,A3632
A0049,A3792
A0049,A3872
