From_Category,To_Category,Ratio_of_human_to_shortest
C0001,C0095,1.7715555555555556
C0001,C0096,1.71860465116279
C0001,C0097,1.6150497512437811
C0001,C0098,1.5911029859841566
C0001,C0099,1.7906824146981621
C0001,C0100,1.9016064257028114
C0001,C0101,1.6190476190476197
C0001,C0102,2.078238719068416
C0001,C0103,1.660731707317073
C0001,C0104,1.6432291666666654
C0001,C0105,1.5620423108218027
C0001,C0106,1.6662790697674417
C0001,C0107,1.591769972451791
C0001,C0108,1.5285156250000007
C0001,C0109,1.5874720357941845
C0001,C0110,1.7590953785644066
C0001,C0111,1.7261129207383286
C0001,C0112,1.9468599033816423
C0001,C0113,2.0305662805662794
C0001,C0114,1.5916271721958917
C0001,C0115,1.686194895591647
C0001,C0116,1.6585714285714286
C0001,C0117,1.8800428274604712
C0001,C0118,1.7677994655512954
C0001,C0119,1.7528182268449715
C0001,C0120,1.6368081564710784
C0001,C0121,1.8895989974937346
C0001,C0122,1.5885791366906443
C0001,C0123,1.6802997472011538
C0001,C0124,1.6601049868766413
C0001,C0125,1.937499999999999
C0001,C0126,1.9952133419969682
C0001,C0127,1.8728522336769762
C0001,C0128,1.5886605783866061
C0001,C0129,1.7260854700854686
C0001,C0130,1.786927330173776
C0001,C0131,1.7112794612794615
C0001,C0132,1.7841374269005854
C0001,C0133,1.9477201257861647
C0001,C0134,1.8286524822695025
C0001,C0135,1.8897596153846192
C0001,C0136,1.8311695906432743
C0001,C0137,2.034192658603866
C0001,C0138,1.8074433656957942
C0001,C0139,1.7326519916142573
C0001,C0140,1.8857954545454552
C0001,C0141,1.7533875338753389
C0001,C0142,1.8551236749116604
C0001,C0143,1.7586609336609342
C0001,C0144,1.7425557136083452
C0001,C0145,1.747191426459718
C0001,C0146,1.7076527525710823
C0002,C0001,1.9633169934640529
C0002,C0002,1.5333333333333334
C0002,C0003,2.4083333333333337
C0002,C0004,1.6291666666666664
C0002,C0005,1.674242424242424
C0002,C0006,2.9583333333333335
C0002,C0007,2.819871794871796
C0002,C0008,1.7048109965635736
C0002,C0009,1.4924242424242422
C0002,C0010,1.725
C0002,C0011,2.4
C0002,C0013,1.5111111111111113
C0002,C0014,1.7892156862745092
C0002,C0015,1.6071428571428572
C0002,C0016,2.2841787439613532
C0002,C0017,1.5333333333333334
C0002,C0020,2.481481481481482
C0002,C0021,1.75
C0002,C0027,2.0
C0002,C0029,1.6893939393939397
C0002,C0031,1.5000000000000002
C0002,C0034,1.6666666666666667
C0002,C0035,4.25
C0002,C0037,4.333333333333333
C0002,C0038,2.1388888888888893
C0002,C0039,2.583333333333333
C0002,C0040,1.6666666666666667
C0002,C0042,3.1336538461538472
C0002,C0044,2.7222222222222228
C0002,C0045,1.125
C0002,C0047,1.0
C0002,C0048,1.5
C0002,C0049,1.356060606060606
C0002,C0051,1.9871794871794874
C0002,C0052,1.0
C0002,C0053,1.5
C0002,C0054,2.2
C0002,C0055,1.7727272727272725
C0002,C0056,1.4444444444444446
C0002,C0057,2.0
C0002,C0058,1.8333333333333333
C0002,C0059,1.5104166666666667
C0002,C0061,2.0523809523809526
C0002,C0062,1.4333333333333331
C0002,C0063,1.5
C0002,C0065,1.5416666666666665
C0002,C0067,1.1666666666666665
C0002,C0068,1.625
C0002,C0070,1.3958333333333335
C0002,C0072,1.4166666666666665
C0002,C0073,1.75
C0002,C0074,1.5333333333333334
C0002,C0075,1.0
C0002,C0076,1.25
C0002,C0078,1.9523809523809526
C0002,C0079,1.3333333333333333
C0002,C0081,1.5
C0002,C0083,3.1666666666666665
C0002,C0084,1.0
C0002,C0085,3.1666666666666665
C0002,C0087,1.4102564102564104
C0002,C0089,2.1666666666666665
C0002,C0091,3.25
C0002,C0092,1.0
C0002,C0093,2.111111111111111
C0002,C0094,3.2083333333333335
C0002,C0096,1.0
C0002,C0098,1.875
C0002,C0103,1.3333333333333333
C0002,C0104,3.0
C0002,C0105,1.5648148148148147
C0002,C0107,2.0
C0002,C0108,1.5
C0002,C0109,1.5000000000000002
C0002,C0110,1.5555555555555556
C0002,C0111,1.3333333333333333
C0002,C0113,1.3333333333333333
C0002,C0114,1.722222222222222
C0002,C0115,1.5
C0002,C0117,2.5238636363636378
C0002,C0118,1.5791666666666666
C0002,C0119,2.1237179487179487
C0002,C0120,1.0
C0002,C0121,1.777777777777778
C0002,C0122,1.4444444444444446
C0002,C0123,1.7708333333333335
C0002,C0124,2.25
C0002,C0127,1.3333333333333333
C0002,C0128,1.0
C0002,C0129,1.75
C0002,C0130,3.1041666666666665
C0002,C0131,1.5
C0002,C0132,1.6458333333333335
C0002,C0133,1.851851851851852
C0002,C0134,1.615151515151515
C0002,C0135,1.9
C0002,C0136,1.8333333333333335
C0002,C0137,3.1333333333333337
C0002,C0138,1.4166666666666667
C0002,C0139,1.5916666666666668
C0002,C0140,2.0
C0002,C0141,1.5
C0002,C0143,1.777777777777778
C0002,C0144,1.6883333333333332
C0002,C0145,1.9666666666666668
C0002,C0146,2.895833333333333
C0003,C0001,1.782169253510715
C0003,C0002,1.5059523809523812
C0003,C0003,1.6313131313131313
C0003,C0004,1.8666666666666667
C0003,C0005,1.8183520599250935
C0003,C0006,1.8160919540229885
C0003,C0007,1.7316151202749142
C0003,C0008,1.7809343434343432
C0003,C0009,1.8952107279693486
C0003,C0010,1.8076923076923077
C0003,C0011,1.3823529411764706
C0003,C0012,1.6666666666666667
C0003,C0013,1.5897435897435899
C0003,C0014,1.8495614035087722
C0003,C0015,1.927536231884058
C0003,C0016,1.770756172839506
C0003,C0017,1.5059523809523812
C0003,C0019,1.25
C0003,C0020,1.7628205128205126
C0003,C0021,1.0
C0003,C0022,1.0
C0003,C0023,1.6666666666666667
C0003,C0024,2.4583333333333335
C0003,C0026,1.1666666666666665
C0003,C0027,1.0
C0003,C0028,2.25
C0003,C0029,1.8333333333333335
C0003,C0030,2.5
C0003,C0031,1.6
C0003,C0032,2.7857142857142856
C0003,C0033,1.462962962962963
C0003,C0034,1.6060606060606062
C0003,C0035,1.3333333333333333
C0003,C0036,1.0
C0003,C0037,2.0
C0003,C0038,1.4607843137254901
C0003,C0039,2.2083333333333335
C0003,C0040,1.5
C0003,C0041,1.8243589743589743
C0003,C0042,1.8634259259259258
C0003,C0044,1.0
C0003,C0045,1.75
C0003,C0046,1.4666666666666666
C0003,C0047,1.2083333333333333
C0003,C0049,1.807017543859649
C0003,C0050,2.0625
C0003,C0051,1.6066666666666665
C0003,C0052,2.105263157894737
C0003,C0053,1.7061403508771933
C0003,C0054,1.8472222222222223
C0003,C0055,1.472222222222222
C0003,C0056,1.4523809523809523
C0003,C0057,1.4375
C0003,C0058,2.0833333333333335
C0003,C0059,2.087962962962963
C0003,C0060,1.5
C0003,C0061,2.3541666666666665
C0003,C0062,1.7904761904761906
C0003,C0063,1.3333333333333333
C0003,C0064,1.25
C0003,C0065,1.55
C0003,C0067,1.6481481481481481
C0003,C0068,2.057971014492754
C0003,C0070,2.055555555555556
C0003,C0071,1.3333333333333333
C0003,C0072,1.8243589743589743
C0003,C0073,1.3333333333333333
C0003,C0074,2.361111111111111
C0003,C0075,1.5
C0003,C0076,1.0
C0003,C0078,1.9285714285714286
C0003,C0079,1.5
C0003,C0081,1.2291666666666665
C0003,C0082,2.125
C0003,C0083,1.6666666666666667
C0003,C0084,1.1666666666666665
C0003,C0085,1.375
C0003,C0086,1.3333333333333335
C0003,C0087,1.7777777777777777
C0003,C0088,1.111111111111111
C0003,C0090,1.3333333333333333
C0003,C0091,4.453333333333333
C0003,C0093,1.25
C0003,C0094,1.6666666666666667
C0003,C0095,2.8333333333333335
C0003,C0096,1.2666666666666666
C0003,C0097,1.5
C0003,C0098,1.611111111111111
C0003,C0099,2.111111111111111
C0003,C0100,2.25
C0003,C0101,1.3333333333333333
C0003,C0102,2.208333333333333
C0003,C0103,2.483333333333333
C0003,C0104,1.4444444444444444
C0003,C0105,1.486111111111111
C0003,C0107,1.5
C0003,C0108,1.1666666666666665
C0003,C0109,1.25
C0003,C0110,1.9696969696969695
C0003,C0111,1.3333333333333333
C0003,C0112,2.5
C0003,C0113,2.7222222222222223
C0003,C0114,1.6666666666666667
C0003,C0115,1.3333333333333333
C0003,C0116,1.2777777777777777
C0003,C0117,1.786338797814208
C0003,C0118,1.6949685534591197
C0003,C0119,1.8098484848484846
C0003,C0120,1.736842105263158
C0003,C0121,1.611111111111111
C0003,C0122,1.7318840579710142
C0003,C0123,1.5606060606060603
C0003,C0124,2.452380952380952
C0003,C0125,1.0
C0003,C0126,1.9259259259259263
C0003,C0127,1.4444444444444446
C0003,C0128,1.5
C0003,C0129,1.6982456140350877
C0003,C0130,1.4375
C0003,C0131,1.3333333333333333
C0003,C0132,1.7361111111111112
C0003,C0133,1.8968253968253965
C0003,C0134,1.7291666666666665
C0003,C0135,2.0771604938271606
C0003,C0136,2.2333333333333334
C0003,C0137,1.4545454545454546
C0003,C0138,1.8402777777777775
C0003,C0139,1.5989583333333333
C0003,C0140,1.9479166666666665
C0003,C0141,1.0
C0003,C0143,1.8560606060606062
C0003,C0144,1.8977777777777773
C0003,C0145,1.7499999999999998
C0003,C0146,1.6
C0004,C0001,1.767655047532824
C0004,C0002,1.6944444444444446
C0004,C0003,1.7056737588652484
C0004,C0004,1.74561403508772
C0004,C0005,1.6786821705426351
C0004,C0006,2.007425742574257
C0004,C0007,1.9072803850782196
C0004,C0008,1.6761744966442962
C0004,C0009,1.9514109347442679
C0004,C0010,1.6453900709219853
C0004,C0011,1.6986111111111106
C0004,C0012,1.460144927536232
C0004,C0013,1.6875
C0004,C0014,1.6489441930618405
C0004,C0015,1.649425287356322
C0004,C0016,1.8280687397708693
C0004,C0017,1.6944444444444446
C0004,C0019,1.8070175438596492
C0004,C0020,1.3333333333333333
C0004,C0021,1.238095238095238
C0004,C0022,1.9444444444444444
C0004,C0023,1.4444444444444446
C0004,C0024,1.4444444444444444
C0004,C0025,2.4
C0004,C0026,1.6
C0004,C0027,1.4333333333333331
C0004,C0028,1.7450980392156858
C0004,C0029,1.3636363636363635
C0004,C0030,1.7222222222222223
C0004,C0031,1.8393939393939391
C0004,C0032,2.111111111111111
C0004,C0033,1.7807017543859647
C0004,C0034,2.1160714285714284
C0004,C0035,1.5347222222222223
C0004,C0037,1.1666666666666665
C0004,C0038,1.8289473684210527
C0004,C0039,2.288194444444444
C0004,C0040,2.0735294117647065
C0004,C0041,1.47258064516129
C0004,C0042,2.03370786516854
C0004,C0043,2.683333333333333
C0004,C0044,1.9166666666666665
C0004,C0045,1.6403508771929827
C0004,C0046,1.6666666666666665
C0004,C0047,1.7777777777777777
C0004,C0048,1.7976190476190474
C0004,C0049,1.7654320987654322
C0004,C0050,1.0
C0004,C0051,1.8830645161290325
C0004,C0052,1.830065359477124
C0004,C0053,1.6009259259259256
C0004,C0054,1.5138888888888888
C0004,C0055,1.596707818930041
C0004,C0056,1.5387596899224807
C0004,C0057,1.5451388888888884
C0004,C0058,1.8680555555555556
C0004,C0059,1.9436936936936937
C0004,C0060,1.4583333333333335
C0004,C0061,1.759259259259259
C0004,C0062,1.4687500000000002
C0004,C0063,1.5277777777777777
C0004,C0064,1.5625
C0004,C0065,1.8958333333333333
C0004,C0066,1.0
C0004,C0067,1.927956989247312
C0004,C0068,3.285714285714285
C0004,C0069,1.9166666666666665
C0004,C0070,1.5476190476190474
C0004,C0071,1.2166666666666666
C0004,C0072,2.091666666666667
C0004,C0073,1.579710144927536
C0004,C0074,1.5087719298245612
C0004,C0075,1.4666666666666666
C0004,C0076,1.8461538461538463
C0004,C0078,1.4565217391304348
C0004,C0079,2.083333333333333
C0004,C0080,1.0
C0004,C0081,1.877976190476191
C0004,C0082,1.5
C0004,C0083,1.0
C0004,C0084,1.5
C0004,C0085,1.5916666666666668
C0004,C0086,1.628787878787879
C0004,C0087,2.111111111111111
C0004,C0088,1.2916666666666667
C0004,C0089,1.96875
C0004,C0090,1.3
C0004,C0091,3.222222222222222
C0004,C0092,1.5555555555555554
C0004,C0093,1.9259259259259258
C0004,C0094,1.9444444444444446
C0004,C0095,1.7777777777777777
C0004,C0096,1.4666666666666663
C0004,C0097,1.6666666666666667
C0004,C0098,1.4
C0004,C0099,1.8257575757575757
C0004,C0100,2.0
C0004,C0101,1.6785714285714286
C0004,C0102,2.236111111111111
C0004,C0103,1.375
C0004,C0104,1.4166666666666667
C0004,C0105,1.4796747967479678
C0004,C0106,1.6666666666666665
C0004,C0107,1.705882352941176
C0004,C0108,1.5
C0004,C0109,1.397435897435897
C0004,C0110,1.4
C0004,C0111,1.4545454545454546
C0004,C0112,2.388888888888889
C0004,C0113,1.577777777777778
C0004,C0114,1.462962962962963
C0004,C0115,1.8854166666666665
C0004,C0116,1.375
C0004,C0117,1.7952522255192869
C0004,C0118,1.9432773109243704
C0004,C0119,1.8089743589743597
C0004,C0120,1.6701388888888884
C0004,C0121,2.0021929824561404
C0004,C0122,1.585034013605442
C0004,C0123,1.5384615384615385
C0004,C0124,1.7549019607843137
C0004,C0125,2.8809523809523805
C0004,C0126,1.8575757575757577
C0004,C0127,1.6547619047619049
C0004,C0128,1.8015873015873016
C0004,C0129,1.776969696969697
C0004,C0130,1.7017857142857145
C0004,C0131,2.1666666666666665
C0004,C0132,1.8791666666666667
C0004,C0133,1.8573446327683618
C0004,C0134,1.8651041666666666
C0004,C0135,1.4855072463768115
C0004,C0136,1.8
C0004,C0137,1.9252136752136755
C0004,C0138,2.316666666666667
C0004,C0139,1.7940613026819925
C0004,C0140,2.4423076923076925
C0004,C0141,2.166666666666667
C0004,C0142,1.6190476190476193
C0004,C0143,1.943548387096774
C0004,C0144,1.7755319148936177
C0004,C0145,1.4743589743589745
C0004,C0146,1.7685185185185182
C0005,C0001,1.8513335642535453
C0005,C0002,1.6858974358974357
C0005,C0003,1.9153005464480874
C0005,C0004,1.8097222222222225
C0005,C0005,1.7486338797814205
C0005,C0006,1.818798449612403
C0005,C0007,1.9384191176470584
C0005,C0008,1.6780936454849478
C0005,C0009,1.7423406862745099
C0005,C0010,1.7516025641025643
C0005,C0011,3.7571684587813605
C0005,C0012,1.7256944444444446
C0005,C0013,2.035897435897436
C0005,C0014,1.7125373134328365
C0005,C0015,2.037393162393163
C0005,C0016,1.9174625468164797
C0005,C0017,1.6858974358974357
C0005,C0019,2.2954545454545454
C0005,C0020,1.7291666666666663
C0005,C0021,1.3333333333333333
C0005,C0022,2.138888888888889
C0005,C0023,1.4583333333333333
C0005,C0024,1.0
C0005,C0025,1.5
C0005,C0026,1.75
C0005,C0027,2.375
C0005,C0028,1.7685185185185184
C0005,C0029,2.0714285714285716
C0005,C0030,1.9122807017543861
C0005,C0031,1.75
C0005,C0032,1.527777777777778
C0005,C0033,1.7007575757575757
C0005,C0034,2.1881720430107525
C0005,C0035,1.5694444444444444
C0005,C0036,1.5833333333333333
C0005,C0037,2.6041666666666665
C0005,C0038,1.5403225806451613
C0005,C0039,1.895833333333334
C0005,C0040,2.1333333333333333
C0005,C0041,1.8379629629629628
C0005,C0042,1.9971590909090902
C0005,C0043,3.6
C0005,C0044,3.3095238095238098
C0005,C0045,1.651515151515152
C0005,C0046,1.5833333333333335
C0005,C0047,1.1904761904761902
C0005,C0048,2.546296296296296
C0005,C0049,1.7389937106918243
C0005,C0050,1.7916666666666667
C0005,C0051,1.906666666666667
C0005,C0052,1.8170731707317074
C0005,C0053,1.6583924349881796
C0005,C0054,1.6084656084656086
C0005,C0055,1.5225563909774436
C0005,C0056,1.666666666666666
C0005,C0057,1.46875
C0005,C0058,1.8291666666666664
C0005,C0059,1.8307291666666665
C0005,C0060,1.9791666666666667
C0005,C0061,1.708333333333333
C0005,C0062,1.6142857142857148
C0005,C0063,1.4305555555555554
C0005,C0064,2.009259259259259
C0005,C0065,1.8975409836065573
C0005,C0066,1.6666666666666667
C0005,C0067,1.980337078651686
C0005,C0068,1.650326797385621
C0005,C0069,1.75
C0005,C0070,1.4122807017543857
C0005,C0071,1.7592592592592593
C0005,C0072,1.5833333333333333
C0005,C0073,1.5666666666666669
C0005,C0074,1.1666666666666665
C0005,C0075,1.5833333333333335
C0005,C0076,2.416666666666667
C0005,C0077,1.3333333333333335
C0005,C0078,1.4874999999999998
C0005,C0079,1.8333333333333333
C0005,C0080,2.3333333333333335
C0005,C0081,6.22093023255814
C0005,C0082,1.5
C0005,C0083,1.9791666666666667
C0005,C0084,1.2803030303030303
C0005,C0085,1.5454545454545454
C0005,C0086,1.8431372549019607
C0005,C0087,1.9277777777777778
C0005,C0088,1.5
C0005,C0089,2.1354166666666665
C0005,C0090,2.0388888888888888
C0005,C0091,2.25
C0005,C0092,1.7272727272727268
C0005,C0093,1.2666666666666666
C0005,C0094,1.111111111111111
C0005,C0095,2.5
C0005,C0096,1.4583333333333335
C0005,C0097,1.4666666666666668
C0005,C0098,1.5476190476190474
C0005,C0099,1.5
C0005,C0100,1.875
C0005,C0101,2.0
C0005,C0102,2.3547008547008543
C0005,C0103,1.7256944444444446
C0005,C0104,1.5909090909090908
C0005,C0105,1.5382882882882878
C0005,C0106,2.0
C0005,C0107,1.6527777777777777
C0005,C0108,1.4466666666666668
C0005,C0109,1.5396825396825395
C0005,C0110,2.6333333333333333
C0005,C0111,1.611111111111111
C0005,C0112,2.1904761904761902
C0005,C0113,2.3958333333333335
C0005,C0114,1.6833333333333336
C0005,C0115,2.265432098765432
C0005,C0116,1.4848484848484846
C0005,C0117,2.025572139303483
C0005,C0118,1.924064171122995
C0005,C0119,1.7203508771929825
C0005,C0120,1.937984496124031
C0005,C0121,2.028735632183908
C0005,C0122,1.6601731601731602
C0005,C0123,1.553763440860215
C0005,C0124,1.88
C0005,C0125,1.9122807017543864
C0005,C0126,2.185374149659864
C0005,C0127,1.6666666666666663
C0005,C0128,1.6166666666666667
C0005,C0129,1.9855263157894734
C0005,C0130,1.8549382716049383
C0005,C0131,2.261904761904762
C0005,C0132,1.9943181818181819
C0005,C0133,2.2651515151515156
C0005,C0134,2.121666666666666
C0005,C0135,2.00514403292181
C0005,C0136,1.9861111111111114
C0005,C0137,1.8643410852713176
C0005,C0138,2.2961111111111108
C0005,C0139,1.8900000000000001
C0005,C0140,1.7628205128205126
C0005,C0141,1.4047619047619047
C0005,C0142,1.5757575757575757
C0005,C0143,1.7202380952380956
C0005,C0144,1.7535256410256406
C0005,C0145,1.6730769230769234
C0005,C0146,1.6666666666666667
C0006,C0001,1.7798720292504566
C0006,C0002,2.0246913580246915
C0006,C0003,1.8790322580645162
C0006,C0004,1.6414141414141412
C0006,C0005,1.594047619047619
C0006,C0006,1.7320675105485233
C0006,C0007,2.0234195402298862
C0006,C0008,1.5943816698053992
C0006,C0009,1.6879251700680262
C0006,C0010,1.7504310344827594
C0006,C0011,1.8564102564102563
C0006,C0012,1.5195652173913046
C0006,C0013,1.6784722222222221
C0006,C0014,1.6053191489361693
C0006,C0015,1.7860696517412935
C0006,C0016,1.9079539066891507
C0006,C0017,2.0246913580246915
C0006,C0019,1.8106060606060608
C0006,C0020,2.142857142857143
C0006,C0021,1.4
C0006,C0022,2.0416666666666665
C0006,C0023,2.2583333333333333
C0006,C0024,1.3333333333333333
C0006,C0025,1.5
C0006,C0026,1.4848484848484846
C0006,C0027,1.25
C0006,C0028,1.9696969696969697
C0006,C0029,1.6833333333333336
C0006,C0030,1.3
C0006,C0031,1.5316666666666665
C0006,C0032,1.2870370370370372
C0006,C0033,1.7992424242424248
C0006,C0034,1.7166666666666668
C0006,C0035,1.611111111111111
C0006,C0036,2.7777777777777772
C0006,C0037,1.976190476190476
C0006,C0038,2.2333333333333334
C0006,C0039,1.9242424242424243
C0006,C0040,2.048611111111111
C0006,C0041,1.4962121212121213
C0006,C0042,2.0494716618635933
C0006,C0043,1.8333333333333333
C0006,C0044,1.3333333333333333
C0006,C0045,1.4791666666666667
C0006,C0046,1.3194444444444444
C0006,C0047,2.3833333333333333
C0006,C0048,2.4708333333333337
C0006,C0049,1.4838308457711442
C0006,C0050,1.5833333333333335
C0006,C0051,1.7239583333333333
C0006,C0052,1.736559139784946
C0006,C0053,1.642746913580247
C0006,C0054,1.4500000000000002
C0006,C0055,1.4290123456790127
C0006,C0056,1.5952380952380953
C0006,C0057,1.7901234567901232
C0006,C0058,1.7807017543859647
C0006,C0059,1.7509523809523808
C0006,C0060,1.712962962962963
C0006,C0061,1.4166666666666667
C0006,C0062,1.4075757575757575
C0006,C0063,2.4166666666666665
C0006,C0064,1.5694444444444444
C0006,C0065,1.6209677419354838
C0006,C0066,1.5833333333333335
C0006,C0067,1.8173076923076918
C0006,C0068,1.8031914893617025
C0006,C0069,1.5
C0006,C0070,1.5347222222222223
C0006,C0071,1.0
C0006,C0072,1.9259259259259258
C0006,C0073,1.392156862745098
C0006,C0074,1.5185185185185184
C0006,C0075,1.688095238095238
C0006,C0076,1.6875
C0006,C0077,1.222222222222222
C0006,C0078,1.358843537414966
C0006,C0079,2.2777777777777777
C0006,C0080,2.083333333333333
C0006,C0081,1.25
C0006,C0082,2.4761904761904767
C0006,C0083,1.951388888888889
C0006,C0084,1.4444444444444444
C0006,C0085,1.5833333333333335
C0006,C0086,1.875
C0006,C0087,1.961111111111111
C0006,C0088,1.64375
C0006,C0089,1.6249999999999998
C0006,C0090,1.4230769230769231
C0006,C0091,1.7976190476190474
C0006,C0092,1.2666666666666666
C0006,C0093,2.7777777777777772
C0006,C0094,1.6111111111111114
C0006,C0095,1.2166666666666666
C0006,C0096,1.125
C0006,C0097,1.2708333333333333
C0006,C0098,1.476190476190476
C0006,C0099,2.0555555555555554
C0006,C0100,2.111111111111111
C0006,C0101,1.2638888888888888
C0006,C0102,2.258771929824561
C0006,C0103,1.7115384615384612
C0006,C0104,1.4333333333333333
C0006,C0105,1.5492424242424243
C0006,C0106,1.5
C0006,C0107,1.5392156862745099
C0006,C0108,1.465686274509804
C0006,C0109,1.338235294117647
C0006,C0110,1.6228070175438594
C0006,C0111,1.911764705882353
C0006,C0112,1.9523809523809526
C0006,C0113,1.4333333333333331
C0006,C0114,1.7954545454545452
C0006,C0115,1.8137254901960784
C0006,C0116,1.5
C0006,C0117,2.01238888888889
C0006,C0118,1.5894308943089432
C0006,C0119,1.5888560157790932
C0006,C0120,1.4111111111111114
C0006,C0121,1.7291666666666667
C0006,C0122,1.6217948717948718
C0006,C0123,1.440476190476191
C0006,C0124,1.8333333333333333
C0006,C0125,2.018518518518518
C0006,C0126,2.0431034482758625
C0006,C0127,1.6666666666666667
C0006,C0128,1.1979166666666665
C0006,C0129,1.6537499999999998
C0006,C0130,1.6598484848484851
C0006,C0131,1.5
C0006,C0132,1.7232142857142858
C0006,C0133,2.266304347826087
C0006,C0134,2.148837209302326
C0006,C0135,1.765873015873016
C0006,C0136,1.4166666666666667
C0006,C0137,2.052331349206349
C0006,C0138,1.6813725490196076
C0006,C0139,1.5603448275862069
C0006,C0140,1.5885416666666667
C0006,C0141,1.75
C0006,C0142,1.3697916666666667
C0006,C0143,1.6365740740740744
C0006,C0144,1.576029962546817
C0006,C0145,1.671875
C0006,C0146,1.6021505376344085
C0007,C0001,1.7006584220771792
C0007,C0002,1.7150537634408602
C0007,C0003,1.9570957095709576
C0007,C0004,1.8181763285024142
C0007,C0005,1.6387614678899078
C0007,C0006,1.7831196581196582
C0007,C0007,1.7449195402298856
C0007,C0008,1.611249030256011
C0007,C0009,1.7164887307236074
C0007,C0010,1.579889807162535
C0007,C0011,1.7507829977628635
C0007,C0012,1.7303763440860211
C0007,C0013,1.8826754385964914
C0007,C0014,1.6149295065458238
C0007,C0015,1.744545454545454
C0007,C0016,1.7834657586076452
C0007,C0017,1.7150537634408602
C0007,C0019,1.916666666666667
C0007,C0020,2.424074074074074
C0007,C0021,1.3181818181818181
C0007,C0022,1.5312499999999998
C0007,C0023,1.4333333333333333
C0007,C0024,1.5833333333333333
C0007,C0025,2.25
C0007,C0026,1.6547619047619047
C0007,C0027,2.227272727272727
C0007,C0028,2.14957264957265
C0007,C0029,1.975
C0007,C0030,1.7166666666666666
C0007,C0031,1.7157210401891259
C0007,C0032,1.8466666666666667
C0007,C0033,1.5104166666666667
C0007,C0034,1.84375
C0007,C0035,1.504901960784314
C0007,C0036,1.6515151515151516
C0007,C0037,1.2916666666666665
C0007,C0038,2.13003663003663
C0007,C0039,2.259803921568628
C0007,C0040,1.82962962962963
C0007,C0041,1.9089285714285718
C0007,C0042,1.606878306878306
C0007,C0043,1.5833333333333335
C0007,C0044,2.388888888888889
C0007,C0045,1.4927536231884055
C0007,C0046,1.5092592592592593
C0007,C0047,1.4705882352941178
C0007,C0048,1.7152777777777777
C0007,C0049,1.6098484848484844
