Article_ID,Category_ID
A0234,C0035
A0235,C0055
A0236,C0134
A0237,C0113
A0238,C0113
A0239,C0031
A0240,C0132
A0241,C0065
A0242,C0065
A0243,C0065
A0244,C0068
A0245,C0051
A0246,C0005,C0122
A0247,C0108
A0248,C0096
A0249,C0105
A0250,C0110
A0251,C0109
A0252,C0109
A0253,C0091
A0254,C0055
A0255,C0144
A0256,C0092
A0257,C0133
A0258,C0134
A0259,C0137
A0260,C0049
A0261,C0033
A0262,C0115
A0263,C0115
A0264,C0115
A0265,C0083,C0126
A0266,C0005,C0120
A0267,C0005,C0121
A0268,C0132
A0269,C0023
A0270,C0023
A0271,C0038,C0041
A0272,C0130
A0273,C0062
A0274,C0084
A0275,C0110
A0276,C0102,C0125
A0277,C0107
A0278,C0068
A0279,C0073,C0074
A0280,C0134
A0281,C0049
A0282,C0050
A0283,C0134
A0284,C0050
A0285,C0130
A0286,C0135
A0287,C0135
A0288,C0092
A0289,C0063
A0290,C0005,C0121
A0291,C0139
A0292,C0134
A0293,C0094
A0294,C0103
A0295,C0092
A0296,C0103
A0297,C0053
A0298,C0065
A0299,C0130
A0300,C0135
A0301,C0134
A0302,C0111
A0303,C0145
A0304,C0145
A0305,C0114
A0306,C0042
A0307,C0012
A0308,C0042
A0309,C0040,C0132
A0310,C0025
A0311,C0031
A0312,C0081
A0313,C0042
A0314,C0080
A0315,C0054
A0316,C0086
A0317,C0144
A0318,C0066
A0319,C0129
A0320,C0107
A0321,C0100
A0322,C0033
A0323,C0078
A0324,C0033
A0325,C0054
A0326,C0054
A0327,C0090
A0328,C0054
A0329,C0129
A0330,C0137
A0331,C0137
A0332,C0005,C0121
A0333,C0139
A0334,C0057
A0335,C0105
A0336,C0144
A0337,C0104
A0338,C0012
A0339,C0135
A0340,C0098
A0341,C0005,C0122
A0342,C0105
A0343,C0106
A0344,C0132
A0345,C0068
A0346,C0047
A0347,C0139
A0348,C0017
A0349,C0132
A0350,C0101
A0351,C0110,C0127
A0352,C0110
A0353,C0101,C0127
A0354,C0017
A0355,C0005,C0121
A0356,C0042
A0357,C0133
A0358,C0055
A0359,C0134
A0360,C0042
A0361,C0133
A0362,C0065
A0363,C0139
A0364,C0144
A0365,C0133
A0366,C0044
A0367,C0144
A0368,C0144
A0369,C0051
A0370,C0051
A0371,C0069,C0099
A0372,C0113
A0373,C0111
A0374,C0053
A0375,C0045
A0376,C0062
A0377,C0035
A0378,C0054
A0379,C0134
A0380,C0127
A0381,C0112
A0382,C0140
A0383,C0089
A0384,C0074
A0385,C0098
A0386,C0133
A0387,C0098,C0101
A0388,C0057
A0389,C0086,C0110
A0390,C0083
A0391,C0092
A0392,C0107
A0393,C0098
A0394,C0005,C0057
A0395,C0081
A0396,C0134
A0397,C0046
A0398,C0129
A0399,C0057
A0400,C0045
A0401,C0005,C0122
A0402,C0133
A0403,C0045
A0404,C0137
A0405,C0031
A0406,C0034
A0407,C0036
A0408,C0036
A0409,C0035
A0410,C0133
A0411,C0052
A0412,C0055
A0413,C0061
A0414,C0048
A0415,C0042,C0137
A0416,C0056
A0417,C0032,C0074
A0418,C0034
A0419,C0105
A0420,C0135
A0421,C0098
A0422,C0005,C0122
A0423,C0063
A0424,C0065
A0425,C0020
A0426,C0075
A0427,C0030,C0048
A0428,C0048
A0429,C0020
A0430,C0033
A0431,C0133
A0432,C0108
A0433,C0135
A0434,C0065,C0098
A0435,C0133
A0436,C0065
A0437,C0043
A0438,C0136
A0439,C0024
A0440,C0135
A0441,C0045
A0442,C0043
A0443,C0058
A0444,C0115
A0445,C0005,C0121
A0446,C0005,C0124
A0447,C0057
A0448,C0129
A0449,C0054
A0450,C0062
A0451,C0049
A0452,C0042
A0453,C0135
A0454,C0055
A0455,C0055
A0456,C0005,C0123
A0457,C0049
A0458,C0020
A0459,C0021
A0460,C0092
A0461,C0049
A0462,C0105
A0463,C0005,C0121
A0464,C0099
A0465,C0135
A0466,C0135
A0467,C0053
A0468,C0139
A0469,C0042,C0137
A0470,C0129
A0471,C0136
A0472,C0017
A0473,C0134
A0474,C0104
A0475,C0045
A0476,C0053
A0477,C0042,C0137
A0478,C0048
A0479,C0033
A0480,C0033
A0481,C0045
A0482,C0134
A0483,C0134
A0484,C0135
A0485,C0087
A0486,C0135
A0487,C0135
A0488,C0056
A0489,C0073
A0490,C0059
A0491,C0037
A0492,C0072
A0493,C0070
A0494,C0072
A0495,C0072
A0496,C0072
A0497,C0128
A0498,C0072
A0499,C0074
A0500,C0072
A0501,C0072
A0502,C0126
A0503,C0070
A0504,C0065
A0505,C0074
A0506,C0065
A0507,C0074
A0508,C0074
A0509,C0074
A0510,C0074
A0511,C0072
A0512,C0074
A0513,C0074
A0514,C0065
A0515,C0072
A0516,C0070
A0517,C0074
A0518,C0074
A0519,C0072
A0520,C0074
A0521,C0070
A0522,C0070
A0523,C0035
A0524,C0054
A0525,C0059
A0526,C0042,C0137
A0527,C0135
A0528,C0088
A0529,C0135
A0530,C0134
A0531,C0069,C0126
A0532,C0134
A0533,C0035
A0534,C0042,C0044
A0535,C0035
A0536,C0039
A0537,C0042,C0137
A0538,C0134
A0539,C0022
A0540,C0065
A0541,C0055
A0542,C0058
A0543,C0005,C0122
A0544,C0056
A0545,C0005,C0122
A0546,C0005,C0121
A0547,C0033
A0548,C0041
A0549,C0110,C0125
A0550,C0056
A0551,C0081
A0552,C0005,C0120
A0553,C0074,C0105
A0554,C0085,C0103
A0555,C0105,C0127
A0556,C0093,C0098
A0557,C0109
A0558,C0033
A0559,C0065,C0069
A0560,C0138
A0561,C0081
A0562,C0133
A0563,C0139
A0564,C0053
A0565,C0073
A0566,C0005,C0121
A0567,C0108
A0568,C0104
A0569,C0139
A0570,C0032
A0571,C0091
A0572,C0005,C0123
A0573,C0116
A0574,C0036
A0575,C0041
A0576,C0144
A0577,C0105
A0578,C0095
A0579,C0103
A0580,C0144
A0581,C0034
A0582,C0132
A0583,C0028,C0034
A0584,C0028,C0132
A0585,C0028
A0586,C0078,C0132
A0587,C0132
A0588,C0041
A0589,C0052
A0590,C0132
A0591,C0129
A0592,C0129
A0593,C0129
A0594,C0056
A0595,C0133
A0596,C0139
A0597,C0135
A0598,C0049
A0599,C0108
A0600,C0053
A0601,C0135
A0602,C0135
A0603,C0129
A0604,C0068
A0605,C0135
A0606,C0129
A0607,C0054
A0608,C0063
A0609,C0135
A0610,C0144
A0611,C0135
A0612,C0042
A0613,C0134
A0614,C0129
A0615,C0129
A0616,C0043
A0617,C0056
A0618,C0134
A0619,C0041
A0620,C0100
A0621,C0074
A0622,C0043
A0623,C0133
A0624,C0129
A0625,C0048
A0626,C0129
A0627,C0135
A0628,C0135
A0629,C0134
A0630,C0089
A0631,C0034,C0142
A0632,C0134
A0633,C0043
A0634,C0032
A0635,C0103
A0636,C0103
A0637,C0135
A0638,C0133
A0639,C0046,C0128
A0640,C0032
A0641,C0059
A0642,C0051
A0643,C0088
A0644,C0135
A0645,C0139
A0646,C0005,C0121
A0647,C0053
A0648,C0053
A0649,C0135
A0650,C0135
A0651,C0135
A0652,C0129
A0653,C0083
A0654,C0116
A0655,C0080
A0656,C0012
A0657,C0137
A0658,C0108
A0659,C0139
A0660,C0005,C0122
A0661,C0062
A0662,C0047
A0663,C0135
A0664,C0035
A0665,C0137
A0666,C0005,C0120
A0667,C0135
A0668,C0098,C0126
A0669,C0062
A0670,C0035
A0671,C0050
A0672,C0136
A0673,C0024
A0674,C0098,C0105,C0127
A0675,C0081
A0676,C0047
A0677,C0130
A0678,C0111
A0679,C0132
A0680,C0042
A0681,C0091
A0682,C0051
A0683,C0087
A0684,C0053
A0685,C0005,C0121
A0686,C0042
A0687,C0098
A0688,C0022
A0689,C0108
A0690,C0034
A0691,C0056
A0692,C0057
A0693,C0056
A0694,C0020,C0125
A0695,C0067
A0696,C0081
A0697,C0031
A0698,C0005,C0123
A0699,C0056
A0700,C0056,C0067
A0701,C0005,C0121
A0702,C0031
A0703,C0091
A0704,C0030
A0705,C0139
A0706,C0065
A0707,C0110
A0708,C0134
A0709,C0091
A0710,C0103
A0711,C0005,C0123
A0712,C0017
A0713,C0053
A0714,C0077
A0715,C0062
A0716,C0078
A0717,C0053
A0718,C0033
A0719,C0096
A0720,C0053
A0721,C0107
A0722,C0115
A0723,C0017
A0724,C0051
A0725,C0048
A0726,C0005,C0122
A0727,C0134
A0728,C0005,C0120
A0729,C0005,C0120
A0730,C0135
A0731,C0135
A0732,C0019
A0733,C0042
A0734,C0034
A0735,C0068
A0736,C0075
A0737,C0110
A0738,C0005,C0120
A0739,C0110
A0740,C0035
A0741,C0076
A0742,C0138
A0743,C0137
A0744,C0139
A0745,C0077
A0746,C0139
A0747,C0138
A0748,C0096
A0749,C0049,C0058
A0750,C0060
A0751,C0139
A0752,C0138
A0753,C0012
A0754,C0062
A0755,C0062
A0756,C0035
A0757,C0139
A0758,C0017
A0759,C0144
A0760,C0109
A0761,C0037
A0762,C0130
A0763,C0005,C0123
A0764,C0059
A0765,C0059
A0766,C0056
A0767,C0135
A0768,C0005,C0120
A0769,C0005,C0062
A0770,C0129
A0771,C0029
A0772,C0081
A0773,C0031
A0774,C0035
A0775,C0031
A0776,C0045
A0777,C0034
A0778,C0092
A0779,C0057
A0780,C0133
A0781,C0134
A0782,C0042
A0783,C0056
A0784,C0033
A0785,C0102,C0126
A0786,C0142
A0787,C0145
A0788,C0051
A0789,C0135
A0790,C0135
A0791,C0049
A0792,C0005,C0120
A0793,C0031
A0794,C0031
A0795,C0111
A0796,C0037
A0797,C0051
A0798,C0098,C0126
A0799,C0092
A0800,C0139
A0801,C0138
A0802,C0059
A0803,C0136
A0804,C0043
A0805,C0056
A0806,C0054
A0807,C0100
A0808,C0098
A0809,C0099
A0810,C0108
A0811,C0093
A0812,C0062
A0813,C0132
A0814,C0057
A0815,C0069
A0816,C0099
A0817,C0042,C0137
A0818,C0041
A0819,C0143
A0820,C0054
A0821,C0145
A0822,C0129
A0823,C0033,C0126
A0824,C0135
A0825,C0144
A0826,C0103
A0827,C0133
A0828,C0133
A0829,C0033
A0830,C0128
A0831,C0098
A0832,C0115
A0833,C0042
A0834,C0059
A0835,C0005,C0121
A0836,C0042,C0137
A0837,C0042,C0137
A0838,C0103
A0839,C0132
A0840,C0087
A0841,C0047
A0842,C0045
A0843,C0112
A0844,C0005,C0120
A0845,C0076
A0846,C0130
A0847,C0042,C0137
A0848,C0132
A0849,C0144
A0850,C0139
A0851,C0005,C0120
A0852,C0025,C0073
A0853,C0129
A0854,C0056
A0855,C0098
A0856,C0095
A0857,C0099
A0858,C0110
A0859,C0110
A0860,C0102,C0125
A0861,C0102,C0125
A0862,C0098
A0863,C0098
A0864,C0091
A0865,C0084
A0866,C0127
A0867,C0098
A0868,C0048
A0869,C0042
A0870,C0135
A0871,C0047
A0872,C0140
A0873,C0132
A0874,C0140
A0875,C0055
A0876,C0034
A0877,C0073
A0878,C0043
A0879,C0109
A0880,C0137
A0881,C0056
A0882,C0056
A0883,C0056
A0884,C0056
A0885,C0062
A0886,C0047
A0887,C0035
A0888,C0042
A0889,C0133
A0890,C0070,C0114
A0891,C0023
A0892,C0005,C0121
A0893,C0056
A0894,C0135
A0895,C0005,C0123
A0896,C0114
A0897,C0081
A0898,C0055
A0899,C0042,C0137
A0900,C0139
A0901,C0042
A0902,C0068
A0903,C0133
A0904,C0134
A0905,C0108
A0906,C0091
A0907,C0115,C0126
A0908,C0115
A0909,C0103
A0910,C0005,C0057,C0123
A0911,C0097
A0912,C0033,C0096
A0913,C0144
A0914,C0132
A0915,C0139
A0916,C0115
A0917,C0115
A0918,C0137
A0919,C0039
A0920,C0041
A0921,C0041
A0922,C0031
A0923,C0042,C0137
A0924,C0054
A0925,C0056
A0926,C0071
A0927,C0023
A0928,C0031
A0929,C0026
A0930,C0038
A0931,C0087
A0932,C0089
A0933,C0099
A0934,C0092
A0935,C0098
A0936,C0059
A0937,C0098
A0938,C0065,C0098
A0939,C0062
A0940,C0033,C0034
A0941,C0054
A0942,C0052
A0943,C0034
A0944,C0041
A0945,C0040
A0946,C0052
A0947,C0028,C0060
A0948,C0129
A0949,C0139
A0950,C0134
A0951,C0134
A0952,C0129
A0953,C0042
A0954,C0042,C0137
A0955,C0134
A0956,C0042
A0957,C0005,C0057
A0958,C0134
A0959,C0065
A0960,C0039
A0961,C0021
A0962,C0073
A0963,C0070
A0964,C0051
A0965,C0073
A0966,C0086,C0110
A0967,C0053
A0968,C0005,C0121
A0969,C0055
A0970,C0143
A0971,C0076
A0972,C0133
A0973,C0062
A0974,C0033,C0065
A0975,C0107
A0976,C0062
A0977,C0073
A0978,C0062
A0979,C0144
A0980,C0144
A0981,C0144
A0982,C0144
A0983,C0144
A0984,C0144
A0985,C0037
A0986,C0116
A0987,C0076
A0988,C0134
A0989,C0129
A0990,C0129
A0991,C0135
A0992,C0137
A0993,C0042,C0129
A0994,C0129
A0995,C0135
A0996,C0133
A0997,C0137
A0998,C0046
A0999,C0030
A1000,C0031
A1001,C0026
A1002,C0120
A1003,C0076
A1004,C0019
A1005,C0130
A1006,C0140
A1007,C0076
A1008,C0038
A1009,C0075
A1010,C0075
A1011,C0049
A1012,C0032
A1013,C0105
A1014,C0025
A1015,C0113
A1016,C0104
A1017,C0049
A1018,C0113
A1019,C0098
A1020,C0126
A1021,C0029
A1022,C0031
A1023,C0017
A1024,C0029
A1025,C0034
A1026,C0054
A1027,C0059
A1028,C0035
A1029,C0023,C0029
A1030,C0023
A1031,C0005,C0057
A1032,C0134
A1033,C0019,C0024
A1034,C0129
A1035,C0053
A1036,C0068
A1037,C0139
A1038,C0138
A1039,C0042,C0137
A1040,C0072
A1041,C0129
A1042,C0042
A1043,C0133
A1044,C0027
A1045,C0048
A1046,C0019
A1047,C0019
A1048,C0034
A1049,C0060
A1050,C0144
A1051,C0144
A1052,C0005,C0121
A1053,C0086
A1054,C0051,C0061
A1055,C0056
A1056,C0137
A1057,C0142
A1058,C0054
A1059,C0035
A1060,C0056
A1061,C0144
A1062,C0034
A1063,C0062
A1064,C0059
A1065,C0114,C0131
A1066,C0112,C0114
A1067,C0029
A1068,C0059
A1069,C0059,C0065
A1070,C0045
A1071,C0029
A1072,C0084
A1073,C0051
A1074,C0063
A1075,C0072
A1076,C0129
A1077,C0070
A1078,C0031
A1079,C0005,C0122
A1080,C0134
A1081,C0133
A1082,C0056
A1083,C0129
A1084,C0129
A1085,C0031,C0067
A1086,C0072,C0114
A1087,C0059
A1088,C0136
A1089,C0077
A1090,C0141
A1091,C0141
A1092,C0005,C0121
A1093,C0137
A1094,C0017
A1095,C0056
A1096,C0042,C0132
A1097,C0026
A1098,C0026
A1099,C0040
A1100,C0049
A1101,C0139
A1102,C0021
A1103,C0138
A1104,C0083
A1105,C0044,C0137
A1106,C0061,C0064
A1107,C0061,C0064
A1108,C0065
A1109,C0042,C0137
A1110,C0005,C0122
A1111,C0099
A1112,C0105
A1113,C0098
A1114,C0133
A1115,C0005,C0122
A1116,C0126
A1117,C0053
A1118,C0132
A1119,C0132
A1120,C0076
A1121,C0048
A1122,C0026
A1123,C0049
A1124,C0035
A1125,C0108
A1126,C0062
A1127,C0034
A1128,C0058
A1129,C0034
A1130,C0108
A1131,C0044
A1132,C0137
A1133,C0091
A1134,C0105
A1135,C0085
A1136,C0035
A1137,C0110
A1138,C0053
A1139,C0070
A1140,C0068
A1141,C0057
A1142,C0139
A1143,C0041
A1144,C0056
A1145,C0022
A1146,C0077
A1147,C0106
A1148,C0108
A1149,C0105
A1150,C0105
A1151,C0084
A1152,C0110
A1153,C0105
A1154,C0100
A1155,C0104
A1156,C0065
A1157,C0097,C0127
A1158,C0046
A1159,C0112
A1160,C0040
A1161,C0063
A1162,C0054
A1163,C0116
A1164,C0062
A1165,C0059
A1166,C0033
A1167,C0049
A1168,C0070
A1169,C0146
A1170,C0130
A1171,C0111
A1172,C0055
A1173,C0112
A1174,C0021
A1175,C0031
A1176,C0031
A1177,C0120
A1178,C0065,C0098
A1179,C0108
A1180,C0005,C0122
A1181,C0095
A1182,C0062
A1183,C0056
A1184,C0052,C0059
A1185,C0134
A1186,C0107
A1187,C0031
A1188,C0062
A1189,C0059
A1190,C0062
A1191,C0133
A1192,C0060
A1193,C0141
A1194,C0141
A1195,C0091
A1196,C0043
A1197,C0085
A1198,C0055
A1199,C0108
A1200,C0092
A1201,C0012
A1202,C0012
A1203,C0144
A1204,C0135
A1205,C0137
A1206,C0130
A1207,C0130
A1208,C0135
A1209,C0130
A1210,C0130
A1211,C0001
A1212,C0031
A1213,C0035
A1214,C0039
A1215,C0074
A1216,C0005,C0120
A1217,C0094
A1218,C0048
A1219,C0129
A1220,C0135
A1221,C0058
A1222,C0135
A1223,C0126
A1224,C0034
A1225,C0042,C0135
A1226,C0129
A1227,C0005,C0121
A1228,C0005,C0121
A1229,C0108
A1230,C0037
A1231,C0095
A1232,C0001
A1233,C0038
A1234,C0056
A1235,C0036
A1236,C0087
A1237,C0110
A1238,C0032
A1239,C0129
A1240,C0056
A1241,C0133
A1242,C0110
A1243,C0017,C0086
A1244,C0043
A1245,C0017
A1246,C0053
A1247,C0039
A1248,C0036
A1249,C0137
A1250,C0134
A1251,C0052
A1252,C0089
A1253,C0110
A1254,C0113
A1255,C0005,C0124
A1256,C0053
A1257,C0139
A1258,C0133
A1259,C0056
A1260,C0047
A1261,C0059
A1262,C0129
A1263,C0056
A1264,C0090
A1265,C0056
A1266,C0033
A1267,C0042
A1268,C0081
A1269,C0109
A1270,C0139
A1271,C0038
A1272,C0110
A1273,C0093
A1274,C0031
A1275,C0035
A1276,C0035
A1277,C0035
A1278,C0129
A1279,C0024
A1280,C0105
A1281,C0135
A1282,C0146
A1283,C0052
A1284,C0061
A1285,C0133
A1286,C0114
A1287,C0048
A1288,C0049
A1289,C0081
A1290,C0005,C0123
A1291,C0005,C0121
A1292,C0115
A1293,C0068
A1294,C0137
A1295,C0132
A1296,C0022
A1297,C0022
A1298,C0022
A1299,C0022
A1300,C0022
A1301,C0022
A1302,C0022
A1303,C0022
A1304,C0005,C0121
A1305,C0133
A1306,C0110
A1307,C0133,C0138
A1308,C0056
A1309,C0100,C0144
A1310,C0062
A1311,C0105
A1312,C0097
A1313,C0027
A1314,C0062
A1315,C0027
A1316,C0069
A1317,C0126
A1318,C0102,C0126
A1319,C0102,C0126
A1320,C0102,C0126
A1321,C0099
A1322,C0093
A1323,C0102,C0128
A1324,C0102,C0128
A1325,C0125
A1326,C0126
A1327,C0102,C0107,C0126
A1328,C0098,C0126
A1329,C0061
A1330,C0052,C0061
A1331,C0070
A1332,C0042
A1333,C0005,C0120
A1334,C0066
A1335,C0034
A1336,C0098,C0126
A1337,C0139
A1338,C0049
A1339,C0051
A1340,C0092
A1341,C0052
A1342,C0005,C0121
A1343,C0065,C0098
A1344,C0053
A1345,C0031
A1346,C0142
A1347,C0142
A1348,C0034
A1349,C0142
A1350,C0142
A1351,C0142
A1352,C0142
A1353,C0034
A1354,C0034
A1355,C0034
A1356,C0012
A1357,C0012
A1358,C0012
A1359,C0137
A1360,C0135
A1361,C0129
A1362,C0135
A1363,C0129
A1364,C0098
A1365,C0113
A1366,C0105,C0127
A1367,C0105,C0128
A1368,C0102
A1369,C0125
A1370,C0103
A1371,C0078
A1372,C0104
A1373,C0031
A1374,C0091
A1375,C0040,C0133
A1376,C0129
A1377,C0038
A1378,C0113
A1379,C0019
A1380,C0129
A1381,C0144
A1382,C0080
A1383,C0133
A1384,C0143
A1385,C0034
A1386,C0056
A1387,C0127
A1388,C0054
A1389,C0125
A1390,C0081
A1391,C0067
A1392,C0126
A1393,C0085
A1394,C0034,C0077
A1395,C0143
A1396,C0028
A1397,C0140
A1398,C0059
A1399,C0101
A1400,C0137
A1401,C0065,C0085
A1402,C0115
A1403,C0029
A1404,C0005,C0120
A1405,C0139
A1406,C0103
A1407,C0062
A1408,C0144
A1409,C0005,C0120
A1410,C0110
A1411,C0096,C0127
A1412,C0059
A1413,C0074
A1414,C0063
A1415,C0134
A1416,C0081
A1417,C0132
A1418,C0005,C0122
A1419,C0138
A1420,C0028,C0113
A1421,C0005,C0120
A1422,C0135
A1423,C0026
A1424,C0100
A1425,C0012
A1426,C0136
A1427,C0058
A1428,C0129
A1429,C0129
A1430,C0129
A1431,C0129
A1432,C0129
A1433,C0021
A1434,C0053
A1435,C0129
A1436,C0129
A1437,C0129
A1438,C0031
A1439,C0145
A1440,C0031
A1441,C0139
A1442,C0089
A1443,C0031
A1444,C0130
A1445,C0105
A1446,C0091
A1447,C0053
A1448,C0131
A1449,C0028,C0031
A1450,C0113
A1451,C0145
A1452,C0145
A1453,C0017
A1454,C0129
A1455,C0028,C0132
A1456,C0144
A1457,C0144
A1458,C0133
A1459,C0052
A1460,C0133
A1461,C0110
A1462,C0032,C0070
A1463,C0032,C0070
A1464,C0045
A1465,C0046
A1466,C0035
A1467,C0031
A1468,C0053
A1469,C0129
A1470,C0034
A1471,C0005,C0121
A1472,C0023,C0040
A1473,C0061
A1474,C0108
A1475,C0056
A1476,C0031
A1477,C0040
A1478,C0042,C0133
A1479,C0132
A1480,C0129
A1481,C0046
A1482,C0029
A1483,C0005,C0057
A1484,C0078
A1485,C0060
A1486,C0092
A1487,C0103
A1488,C0037
A1489,C0045
A1490,C0042,C0137
A1491,C0097
A1492,C0053
A1493,C0144
A1494,C0139
A1495,C0137
A1496,C0058
A1497,C0042
A1498,C0133
A1499,C0035
A1500,C0034
A1501,C0083
A1502,C0105
A1503,C0129
A1504,C0005,C0057
A1505,C0041
A1506,C0038
A1507,C0038
A1508,C0022
A1509,C0019
A1510,C0017
A1511,C0005,C0122
A1512,C0140
A1513,C0070
A1514,C0129
A1515,C0048
A1516,C0116
A1517,C0072,C0114
A1518,C0072
A1519,C0035
A1520,C0134
A1521,C0042
A1522,C0054
A1523,C0054
A1524,C0054
A1525,C0054
A1526,C0054
A1527,C0054
A1528,C0054
A1529,C0129
A1530,C0053
A1531,C0112,C0114
A1532,C0081
A1533,C0082
A1534,C0063
A1535,C0052,C0061
A1536,C0076
A1537,C0099,C0127
A1538,C0062
A1539,C0035
A1540,C0080
A1541,C0137
A1542,C0108
A1543,C0139
A1544,C0087
A1545,C0042
A1546,C0133,C0138
A1547,C0089
A1548,C0065,C0112
A1549,C0042
A1550,C0045
A1551,C0045
A1552,C0143
A1553,C0066
A1554,C0054,C0137
A1555,C0138
A1556,C0045
A1557,C0041
A1558,C0033
A1559,C0075
A1560,C0034,C0035
A1561,C0034,C0036
A1562,C0059
A1563,C0028,C0143
A1564,C0059
A1565,C0071
A1566,C0135
A1567,C0103
A1568,C0012
A1569,C0005,C0122
A1570,C0071
A1571,C0099
A1572,C0104
A1573,C0099,C0128
A1574,C0098,C0125
A1575,C0033
A1576,C0107
A1577,C0092
A1578,C0139
A1579,C0033
A1580,C0084
A1581,C0053
A1582,C0098
A1583,C0109
A1584,C0109
A1585,C0068
A1586,C0110
A1587,C0103
A1588,C0105
A1589,C0105
A1590,C0098
A1591,C0098
A1592,C0049
A1593,C0005,C0121
A1594,C0046
A1595,C0005,C0057
A1596,C0068
A1597,C0050
A1598,C0081
A1599,C0059
A1600,C0104
A1601,C0001
A1602,C0134
A1603,C0042
A1604,C0134
A1605,C0144
A1606,C0053
A1607,C0075
A1608,C0031
A1609,C0012
A1610,C0136
A1611,C0081
A1612,C0136
A1613,C0110
A1614,C0065
A1615,C0076
A1616,C0079
A1617,C0079
A1618,C0075,C0078
A1619,C0005,C0120
A1620,C0049
A1621,C0139
A1622,C0005,C0121
A1623,C0129
A1624,C0144
A1625,C0059
A1626,C0137
A1627,C0093,C0096
A1628,C0067
A1629,C0130
A1630,C0139
A1631,C0064
A1632,C0043
A1633,C0012
A1634,C0111
A1635,C0055
A1636,C0134
A1637,C0055
A1638,C0089
A1639,C0044
